matrix_name	nr_cols	bw_total	avg-parts	std-parts	varcoeff-parts
cage15.sorted	5154859	1092607.23	107115.78	153230.38	143.05
circuit5M.sorted	5558326	2793149.88	349087.13	855123.55	244.96
bone010.sorted	986703	17931.37	1900.39	3001.49	157.94
ldoor.sorted	952203	194446.25	12917.95	15376.12	119.03
rajat31.sorted	4690002	4557.09	568.39	1166.12	205.16
TSOPF_RS_b2383.sorted	38120	18422.08	1430.5	2541.81	177.69
Ga41As41H72.sorted	268096	46185.57	5214.48	7573.71	145.24
wikipedia-20051105.sorted	1634989	555995.14	56973.12	47209.92	82.86
eu-2005.sorted	862664	214717.96	23867.11	28512.08	119.46
PR02R.sorted	161070	6376.07	768.12	516.59	67.25
Si41Ge41H72.sorted	185639	35928.15	4054.4	5711.35	140.87
in-2004.sorted	1382908	29733.21	3420.63	4346.34	127.06
Chebyshev4.sorted	68121	3089.79	320.27	250.83	78.32
rail4284.real	1096894	1048128.07	129016.28	64668.04	50.12
pwtk.sorted	217918	12927.05	246.83	242.72	98.34
crankseg_2.sorted	63838	55268.93	6613.8	7245.44	109.55
TSOPF_RS_b300_c3.sorted	42138	25564.97	1940.59	3754.64	193.48
shipsec1.sorted	140874	6462.67	195.1	145.92	74.8
consph.sorted	83334	5817.66	669.36	972.32	145.26
webbase-1M.sorted	1000005	152463.66	18817.88	50895.26	270.46
mip1.sorted	66463	39232.11	3978.71	7198.93	180.94
rma10.sorted	46835	8794.27	809.95	1253.65	154.78
cant.sorted	62451	537.33	58.14	66.17	113.8
conf5_4-8x8-15.real	49152	12027.03	1480.34	2364.76	159.74
pdb1HYS.sorted	36417	4731.94	539.99	332.17	61.51
bbmat.sorted	38744	1158.22	127.75	157.89	123.59
raefsky3.sorted	21200	1403.45	170.45	301.05	176.63
mc2depi.real	525825	705.75	59.03	166.55	282.16
mac_econ_fwd500.sorted	206500	393.99	36.87	51.6	139.94
scircuit.sorted	170998	50829.59	5029.32	9204.67	183.02
cop20k_A.sorted	121192	75509.28	6928.73	6909.83	99.73
