filename	nr_rows	nr_cols	nr_nnz	density	mem_footprint	 	time1	time2
artificial_4000_4000_417986_mu_105_std_0.02_random_s14_g.mtx	4000	4000	417986	2.6124	4.799	 	0.0021	0
artificial_4000_4000_417986_mu_105_std_0.09_random_s14_g.mtx	4000	4000	417986	2.6124	4.799	 	0.0022	0
artificial_4000_4000_417985_mu_105_std_0.2_random_s14_g.mtx	4000	4000	417985	2.6124	4.799	 	0.0026	0
artificial_4000_4000_417985_mu_105_std_0.25_random_s14_g.mtx	4000	4000	417985	2.6124	4.799	 	0.0025	0
artificial_4000_4000_417984_mu_105_std_0.3_random_s14_g.mtx	4000	4000	417984	2.6124	4.799	 	0.0027	0
artificial_4000_4000_417976_mu_105_std_0.39_random_s14_g.mtx	4000	4000	417976	2.6124	4.799	 	0.0024	0
artificial_4000_4000_417977_mu_105_std_0.43_random_s14_g.mtx	4000	4000	417977	2.6124	4.799	 	0.0022	0
artificial_4000_4000_417965_mu_105_std_0.55_random_s14_g.mtx	4000	4000	417965	2.6123	4.798	 	0.0028	0
artificial_4000_4000_417958_mu_105_std_0.64_random_s14_g.mtx	4000	4000	417958	2.6122	4.798	 	0.0026	0
artificial_4000_4000_417933_mu_105_std_0.72_random_s14_g.mtx	4000	4000	417933	2.6121	4.798	 	0.0026	0
artificial_4000_4000_417950_mu_105_std_0.78_random_s14_g.mtx	4000	4000	417950	2.6122	4.798	 	0.0027	0
artificial_4000_4000_417924_mu_105_std_0.84_random_s14_g.mtx	4000	4000	417924	2.612	4.798	 	0.0025	0
artificial_4000_4000_417905_mu_105_std_0.98_random_s14_g.mtx	4000	4000	417905	2.6119	4.798	 	0.0025	0
artificial_4000_4000_417894_mu_105_std_1.14_random_s14_g.mtx	4000	4000	417894	2.6118	4.798	 	0.0023	0
artificial_4000_4000_417887_mu_105_std_1.32_random_s14_g.mtx	4000	4000	417887	2.6118	4.798	 	0.0023	0
artificial_4000_4000_417857_mu_105_std_1.5_random_s14_g.mtx	4000	4000	417857	2.6116	4.797	 	0.0022	0
artificial_4000_4000_417840_mu_105_std_1.6_random_s14_g.mtx	4000	4000	417840	2.6115	4.797	 	0.0025	0
artificial_4000_4000_417778_mu_105_std_2.25_random_s14_g.mtx	4000	4000	417778	2.6111	4.796	 	0.0023	0
artificial_4000_4000_417726_mu_105_std_2.5_random_s14_g.mtx	4000	4000	417726	2.6108	4.796	 	0.0028	0
artificial_4000_4000_417693_mu_105_std_3_random_s14_g.mtx	4000	4000	417693	2.6106	4.795	 	0.0027	0
artificial_4000_4000_417197_mu_105_std_8_random_s14_g.mtx	4000	4000	417197	2.6075	4.79	 	0.0024	0
