filename	nr_rows	nr_cols	nr_nnz	density	mem_footprint	 	time1	time2
artificial_64000_64000_26847993_mu_420_std_0.02_random_s14_n.mtx	64000	64000	26847993	0.6555	307.495	 	0.0362	1
artificial_64000_64000_26847993_mu_420_std_0.09_random_s14_n.mtx	64000	64000	26847993	0.6555	307.495	 	0.0376	1
artificial_64000_64000_26847993_mu_420_std_0.2_random_s14_n.mtx	64000	64000	26847993	0.6555	307.495	 	0.0377	1
artificial_64000_64000_26847993_mu_420_std_0.25_random_s14_n.mtx	64000	64000	26847993	0.6555	307.495	 	0.0375	1
artificial_64000_64000_26847985_mu_420_std_0.3_random_s14_n.mtx	64000	64000	26847985	0.6555	307.495	 	0.0378	1
artificial_64000_64000_26847933_mu_420_std_0.39_random_s14_n.mtx	64000	64000	26847933	0.6555	307.494	 	0.0378	1
artificial_64000_64000_26847952_mu_420_std_0.43_random_s14_n.mtx	64000	64000	26847952	0.6555	307.495	 	0.0341	1
artificial_64000_64000_26848107_mu_420_std_0.55_random_s14_n.mtx	64000	64000	26848107	0.6555	307.496	 	0.0326	1
artificial_64000_64000_26848108_mu_420_std_0.64_random_s14_n.mtx	64000	64000	26848108	0.6555	307.496	 	0.0331	1
artificial_64000_64000_26848020_mu_420_std_0.72_random_s14_n.mtx	64000	64000	26848020	0.6555	307.495	 	0.0332	1
artificial_64000_64000_26847921_mu_420_std_0.78_random_s14_n.mtx	64000	64000	26847921	0.6555	307.494	 	0.0327	1
artificial_64000_64000_26847983_mu_420_std_0.84_random_s14_n.mtx	64000	64000	26847983	0.6555	307.495	 	0.0349	1
artificial_64000_64000_26848027_mu_420_std_0.98_random_s14_n.mtx	64000	64000	26848027	0.6555	307.495	 	0.0346	1
artificial_64000_64000_26848016_mu_420_std_1.14_random_s14_n.mtx	64000	64000	26848016	0.6555	307.495	 	0.0332	1
artificial_64000_64000_26848118_mu_420_std_1.32_random_s14_n.mtx	64000	64000	26848118	0.6555	307.496	 	0.0332	1
artificial_64000_64000_26847944_mu_420_std_1.5_random_s14_n.mtx	64000	64000	26847944	0.6555	307.494	 	0.0344	1
artificial_64000_64000_26847973_mu_420_std_1.6_random_s14_n.mtx	64000	64000	26847973	0.6555	307.495	 	0.0334	1
artificial_64000_64000_26847847_mu_420_std_2.25_random_s14_n.mtx	64000	64000	26847847	0.6555	307.493	 	0.0354	1
artificial_64000_64000_26847877_mu_420_std_2.5_random_s14_n.mtx	64000	64000	26847877	0.6555	307.494	 	0.0333	1
artificial_64000_64000_26847865_mu_420_std_3_random_s14_n.mtx	64000	64000	26847865	0.6555	307.494	 	0.0353	1
artificial_64000_64000_26847578_mu_420_std_8_random_s14_n.mtx	64000	64000	26847578	0.6555	307.49	 	0.036	1
artificial_64000_64000_26847404_mu_420_std_13_random_s14_n.mtx	64000	64000	26847404	0.6555	307.488	 	0.0351	1
artificial_64000_64000_26843052_mu_420_std_125_random_s14_n.mtx	64000	64000	26843052	0.6553	307.438	 	0.0352	1
artificial_68000_68000_28526027_mu_420_std_0.02_random_s14_n.mtx	68000	68000	28526027	0.6169	326.714	 	0.036	1
artificial_68000_68000_28526027_mu_420_std_0.09_random_s14_n.mtx	68000	68000	28526027	0.6169	326.714	 	0.0349	1
artificial_68000_68000_28526027_mu_420_std_0.2_random_s14_n.mtx	68000	68000	28526027	0.6169	326.714	 	0.0359	1
artificial_68000_68000_28526027_mu_420_std_0.25_random_s14_n.mtx	68000	68000	28526027	0.6169	326.714	 	0.0374	1
artificial_68000_68000_28526018_mu_420_std_0.3_random_s14_n.mtx	68000	68000	28526018	0.6169	326.714	 	0.0385	1
artificial_68000_68000_28525959_mu_420_std_0.39_random_s14_n.mtx	68000	68000	28525959	0.6169	326.713	 	0.0358	1
artificial_68000_68000_28525978_mu_420_std_0.43_random_s14_n.mtx	68000	68000	28525978	0.6169	326.713	 	0.0346	1
artificial_68000_68000_28526130_mu_420_std_0.55_random_s14_n.mtx	68000	68000	28526130	0.6169	326.715	 	0.0347	1
artificial_68000_68000_28526140_mu_420_std_0.64_random_s14_n.mtx	68000	68000	28526140	0.6169	326.715	 	0.0343	1
artificial_68000_68000_28526070_mu_420_std_0.72_random_s14_n.mtx	68000	68000	28526070	0.6169	326.714	 	0.0355	1
artificial_68000_68000_28525978_mu_420_std_0.78_random_s14_n.mtx	68000	68000	28525978	0.6169	326.713	 	0.038	1
artificial_68000_68000_28526029_mu_420_std_0.84_random_s14_n.mtx	68000	68000	28526029	0.6169	326.714	 	0.0357	1
artificial_68000_68000_28526098_mu_420_std_0.98_random_s14_n.mtx	68000	68000	28526098	0.6169	326.715	 	0.0354	1
artificial_68000_68000_28526118_mu_420_std_1.14_random_s14_n.mtx	68000	68000	28526118	0.6169	326.715	 	0.0352	1
artificial_68000_68000_28526240_mu_420_std_1.32_random_s14_n.mtx	68000	68000	28526240	0.6169	326.716	 	0.0377	1
artificial_68000_68000_28526089_mu_420_std_1.5_random_s14_n.mtx	68000	68000	28526089	0.6169	326.715	 	0.0368	1
artificial_68000_68000_28526083_mu_420_std_1.6_random_s14_n.mtx	68000	68000	28526083	0.6169	326.715	 	0.0373	1
artificial_68000_68000_28526009_mu_420_std_2.25_random_s14_n.mtx	68000	68000	28526009	0.6169	326.714	 	0.0356	1
artificial_68000_68000_28526022_mu_420_std_2.5_random_s14_n.mtx	68000	68000	28526022	0.6169	326.714	 	0.0348	1
artificial_68000_68000_28526089_mu_420_std_3_random_s14_n.mtx	68000	68000	28526089	0.6169	326.715	 	0.0356	1
artificial_68000_68000_28526162_mu_420_std_8_random_s14_n.mtx	68000	68000	28526162	0.6169	326.715	 	0.035	1
artificial_68000_68000_28526297_mu_420_std_13_random_s14_n.mtx	68000	68000	28526297	0.6169	326.717	 	0.0354	1
artificial_68000_68000_28529769_mu_420_std_125_random_s14_n.mtx	68000	68000	28529769	0.617	326.757	 	0.0371	1
artificial_83000_83000_34818499_mu_420_std_0.02_random_s14_n.mtx	83000	83000	34818499	0.5054	398.783	 	0.0455	1
