filename	nr_rows	nr_cols	nr_nnz	density	mem_footprint
synthetic_64000_64000_26847995_avg420_std0.02_random_g14.mtx	64000	64000	26847995	0.6555	307.495
synthetic_64000_64000_26847994_avg420_std0.2_random_g14.mtx	64000	64000	26847994	0.6555	307.495
synthetic_64000_64000_26848014_avg420_std0.64_random_g14.mtx	64000	64000	26848014	0.6555	307.495
synthetic_64000_64000_26847868_avg420_std0.84_random_g14.mtx	64000	64000	26847868	0.6555	307.494
synthetic_64000_64000_26847920_avg420_std1.6_random_g14.mtx	64000	64000	26847920	0.6555	307.494
synthetic_64000_64000_26847902_avg420_std2.25_random_g14.mtx	64000	64000	26847902	0.6555	307.494
synthetic_64000_64000_26847908_avg420_std2.5_random_g14.mtx	64000	64000	26847908	0.6555	307.494
synthetic_64000_64000_26848036_avg420_std3_random_g14.mtx	64000	64000	26848036	0.6555	307.496
synthetic_64000_64000_26847990_avg420_std8_random_g14.mtx	64000	64000	26847990	0.6555	307.495
synthetic_64000_64000_26847962_avg420_std13_random_g14.mtx	64000	64000	26847962	0.6555	307.495
synthetic_64000_64000_26849414_avg420_std125_random_g14.mtx	64000	64000	26849414	0.6555	307.511
synthetic_68000_68000_28525953_avg420_std0.02_random_g14.mtx	68000	68000	28525953	0.6169	326.713
synthetic_68000_68000_28525952_avg420_std0.2_random_g14.mtx	68000	68000	28525952	0.6169	326.713
synthetic_68000_68000_28525943_avg420_std0.64_random_g14.mtx	68000	68000	28525943	0.6169	326.713
synthetic_68000_68000_28525794_avg420_std0.84_random_g14.mtx	68000	68000	28525794	0.6169	326.711
synthetic_68000_68000_28525797_avg420_std1.6_random_g14.mtx	68000	68000	28525797	0.6169	326.711
synthetic_68000_68000_28525693_avg420_std2.25_random_g14.mtx	68000	68000	28525693	0.6169	326.71
synthetic_68000_68000_28525713_avg420_std2.5_random_g14.mtx	68000	68000	28525713	0.6169	326.71
synthetic_68000_68000_28525785_avg420_std3_random_g14.mtx	68000	68000	28525785	0.6169	326.711
synthetic_68000_68000_28525373_avg420_std8_random_g14.mtx	68000	68000	28525373	0.6169	326.706
synthetic_68000_68000_28524964_avg420_std13_random_g14.mtx	68000	68000	28524964	0.6169	326.702
synthetic_68000_68000_28522001_avg420_std125_random_g14.mtx	68000	68000	28522001	0.6168	326.668
synthetic_83000_83000_34818499_avg420_std0.02_random_g14.mtx	83000	83000	34818499	0.5054	398.783
synthetic_83000_83000_34818498_avg420_std0.2_random_g14.mtx	83000	83000	34818498	0.5054	398.783
synthetic_83000_83000_34818503_avg420_std0.64_random_g14.mtx	83000	83000	34818503	0.5054	398.783
synthetic_83000_83000_34818401_avg420_std0.84_random_g14.mtx	83000	83000	34818401	0.5054	398.782
synthetic_83000_83000_34818408_avg420_std1.6_random_g14.mtx	83000	83000	34818408	0.5054	398.782
synthetic_83000_83000_34818362_avg420_std2.25_random_g14.mtx	83000	83000	34818362	0.5054	398.781
synthetic_83000_83000_34818428_avg420_std2.5_random_g14.mtx	83000	83000	34818428	0.5054	398.782
synthetic_83000_83000_34818469_avg420_std3_random_g14.mtx	83000	83000	34818469	0.5054	398.782
synthetic_83000_83000_34818415_avg420_std8_random_g14.mtx	83000	83000	34818415	0.5054	398.782
synthetic_83000_83000_34818418_avg420_std13_random_g14.mtx	83000	83000	34818418	0.5054	398.782
synthetic_83000_83000_34818948_avg420_std125_random_g14.mtx	83000	83000	34818948	0.5054	398.788
synthetic_121000_121000_26559550_avg220_std0.02_random_g14.mtx	121000	121000	26559550	0.1814	304.412
synthetic_121000_121000_26559542_avg220_std0.2_random_g14.mtx	121000	121000	26559542	0.1814	304.411
