filename	nr_rows	nr_cols	nr_nnz	density	mem_footprint
synthetic_38000_38000_98781037_avg2600_std0.02_random_n14.mtx	38000	38000	98781037	6.8408	1130.604
synthetic_38000_38000_98781037_avg2600_std0.2_random_n14.mtx	38000	38000	98781037	6.8408	1130.604
synthetic_38000_38000_98781092_avg2600_std0.64_random_n14.mtx	38000	38000	98781092	6.8408	1130.605
synthetic_38000_38000_98781008_avg2600_std0.84_random_n14.mtx	38000	38000	98781008	6.8408	1130.604
synthetic_38000_38000_98780927_avg2600_std1.6_random_n14.mtx	38000	38000	98780927	6.8408	1130.603
synthetic_38000_38000_98780879_avg2600_std2.25_random_n14.mtx	38000	38000	98780879	6.8408	1130.602
synthetic_38000_38000_98780963_avg2600_std2.5_random_n14.mtx	38000	38000	98780963	6.8408	1130.603
synthetic_38000_38000_98780922_avg2600_std3_random_n14.mtx	38000	38000	98780922	6.8408	1130.603
synthetic_38000_38000_98780724_avg2600_std8_random_n14.mtx	38000	38000	98780724	6.8408	1130.601
synthetic_38000_38000_98780509_avg2600_std13_random_n14.mtx	38000	38000	98780509	6.8408	1130.598
synthetic_38000_38000_98776295_avg2600_std125_random_n14.mtx	38000	38000	98776295	6.8405	1130.55
synthetic_47000_47000_122176530_avg2600_std0.02_random_n14.mtx	47000	47000	122176530	5.5309	1398.379
synthetic_47000_47000_122176530_avg2600_std0.2_random_n14.mtx	47000	47000	122176530	5.5309	1398.379
synthetic_47000_47000_122176579_avg2600_std0.64_random_n14.mtx	47000	47000	122176579	5.5309	1398.379
synthetic_47000_47000_122176523_avg2600_std0.84_random_n14.mtx	47000	47000	122176523	5.5309	1398.379
synthetic_47000_47000_122176500_avg2600_std1.6_random_n14.mtx	47000	47000	122176500	5.5309	1398.378
synthetic_47000_47000_122176376_avg2600_std2.25_random_n14.mtx	47000	47000	122176376	5.5308	1398.377
synthetic_47000_47000_122176497_avg2600_std2.5_random_n14.mtx	47000	47000	122176497	5.5309	1398.378
synthetic_47000_47000_122176480_avg2600_std3_random_n14.mtx	47000	47000	122176480	5.5309	1398.378
synthetic_47000_47000_122176349_avg2600_std8_random_n14.mtx	47000	47000	122176349	5.5308	1398.377
synthetic_47000_47000_122176285_avg2600_std13_random_n14.mtx	47000	47000	122176285	5.5308	1398.376
synthetic_47000_47000_122174552_avg2600_std125_random_n14.mtx	47000	47000	122174552	5.5308	1398.356
synthetic_64000_64000_166367993_avg2600_std0.02_random_n14.mtx	64000	64000	166367993	4.0617	1904.175
synthetic_64000_64000_166367993_avg2600_std0.2_random_n14.mtx	64000	64000	166367993	4.0617	1904.175
synthetic_64000_64000_166368108_avg2600_std0.64_random_n14.mtx	64000	64000	166368108	4.0617	1904.176
synthetic_64000_64000_166367983_avg2600_std0.84_random_n14.mtx	64000	64000	166367983	4.0617	1904.175
synthetic_64000_64000_166367973_avg2600_std1.6_random_n14.mtx	64000	64000	166367973	4.0617	1904.174
synthetic_64000_64000_166367847_avg2600_std2.25_random_n14.mtx	64000	64000	166367847	4.0617	1904.173
synthetic_64000_64000_166367877_avg2600_std2.5_random_n14.mtx	64000	64000	166367877	4.0617	1904.173
synthetic_64000_64000_166367865_avg2600_std3_random_n14.mtx	64000	64000	166367865	4.0617	1904.173
synthetic_64000_64000_166367578_avg2600_std8_random_n14.mtx	64000	64000	166367578	4.0617	1904.17
synthetic_64000_64000_166367404_avg2600_std13_random_n14.mtx	64000	64000	166367404	4.0617	1904.168
synthetic_64000_64000_166361476_avg2600_std125_random_n14.mtx	64000	64000	166361476	4.0616	1904.1
synthetic_68000_68000_176766027_avg2600_std0.02_random_n14.mtx	68000	68000	176766027	3.8228	2023.186
synthetic_68000_68000_176766027_avg2600_std0.2_random_n14.mtx	68000	68000	176766027	3.8228	2023.186
synthetic_68000_68000_176766140_avg2600_std0.64_random_n14.mtx	68000	68000	176766140	3.8228	2023.187
synthetic_68000_68000_176766029_avg2600_std0.84_random_n14.mtx	68000	68000	176766029	3.8228	2023.186
synthetic_68000_68000_176766083_avg2600_std1.6_random_n14.mtx	68000	68000	176766083	3.8228	2023.187
synthetic_68000_68000_176766009_avg2600_std2.25_random_n14.mtx	68000	68000	176766009	3.8228	2023.186
synthetic_68000_68000_176766022_avg2600_std2.5_random_n14.mtx	68000	68000	176766022	3.8228	2023.186
synthetic_68000_68000_176766089_avg2600_std3_random_n14.mtx	68000	68000	176766089	3.8228	2023.187
synthetic_68000_68000_176766162_avg2600_std8_random_n14.mtx	68000	68000	176766162	3.8228	2023.188
synthetic_68000_68000_176766297_avg2600_std13_random_n14.mtx	68000	68000	176766297	3.8228	2023.189
synthetic_68000_68000_176768166_avg2600_std125_random_n14.mtx	68000	68000	176768166	3.8228	2023.211
synthetic_218000_218000_91450969_avg420_std0.02_random_n14.mtx	218000	218000	91450969	0.1924	1047.405
synthetic_218000_218000_91450969_avg420_std0.2_random_n14.mtx	218000	218000	91450969	0.1924	1047.405
synthetic_218000_218000_91450947_avg420_std0.64_random_n14.mtx	218000	218000	91450947	0.1924	1047.405
synthetic_218000_218000_91450911_avg420_std0.84_random_n14.mtx	218000	218000	91450911	0.1924	1047.404
synthetic_218000_218000_91450664_avg420_std1.6_random_n14.mtx	218000	218000	91450664	0.1924	1047.401
synthetic_218000_218000_91450409_avg420_std2.25_random_n14.mtx	218000	218000	91450409	0.1924	1047.398
synthetic_218000_218000_91450462_avg420_std2.5_random_n14.mtx	218000	218000	91450462	0.1924	1047.399
synthetic_218000_218000_91450476_avg420_std3_random_n14.mtx	218000	218000	91450476	0.1924	1047.399
synthetic_218000_218000_91449605_avg420_std8_random_n14.mtx	218000	218000	91449605	0.1924	1047.389
synthetic_218000_218000_91449005_avg420_std13_random_n14.mtx	218000	218000	91449005	0.1924	1047.382
synthetic_218000_218000_91434539_avg420_std125_random_n14.mtx	218000	218000	91434539	0.1924	1047.217
synthetic_268000_268000_112426098_avg420_std0.02_random_n14.mtx	268000	268000	112426098	0.1565	1287.637
synthetic_268000_268000_112426098_avg420_std0.2_random_n14.mtx	268000	268000	112426098	0.1565	1287.637
synthetic_268000_268000_112426085_avg420_std0.64_random_n14.mtx	268000	268000	112426085	0.1565	1287.637
synthetic_268000_268000_112426149_avg420_std0.84_random_n14.mtx	268000	268000	112426149	0.1565	1287.638
synthetic_268000_268000_112425796_avg420_std1.6_random_n14.mtx	268000	268000	112425796	0.1565	1287.633
synthetic_268000_268000_112425807_avg420_std2.25_random_n14.mtx	268000	268000	112425807	0.1565	1287.634
synthetic_268000_268000_112425804_avg420_std2.5_random_n14.mtx	268000	268000	112425804	0.1565	1287.634
synthetic_268000_268000_112425937_avg420_std3_random_n14.mtx	268000	268000	112425937	0.1565	1287.635
synthetic_268000_268000_112425640_avg420_std8_random_n14.mtx	268000	268000	112425640	0.1565	1287.632
synthetic_268000_268000_112425914_avg420_std13_random_n14.mtx	268000	268000	112425914	0.1565	1287.635
synthetic_268000_268000_112429205_avg420_std125_random_n14.mtx	268000	268000	112429205	0.1565	1287.672
synthetic_526000_526000_115457366_avg220_std0.02_random_n14.mtx	526000	526000	115457366	0.0417	1323.311
synthetic_526000_526000_115457366_avg220_std0.2_random_n14.mtx	526000	526000	115457366	0.0417	1323.311
synthetic_526000_526000_115457304_avg220_std0.64_random_n14.mtx	526000	526000	115457304	0.0417	1323.311
synthetic_526000_526000_115457446_avg220_std0.84_random_n14.mtx	526000	526000	115457446	0.0417	1323.312
synthetic_526000_526000_115457038_avg220_std1.6_random_n14.mtx	526000	526000	115457038	0.0417	1323.307
synthetic_526000_526000_115457161_avg220_std2.25_random_n14.mtx	526000	526000	115457161	0.0417	1323.309
synthetic_526000_526000_115456775_avg220_std2.5_random_n14.mtx	526000	526000	115456775	0.0417	1323.304
synthetic_526000_526000_115457297_avg220_std3_random_n14.mtx	526000	526000	115457297	0.0417	1323.31
synthetic_526000_526000_115457629_avg220_std8_random_n14.mtx	526000	526000	115457629	0.0417	1323.314
synthetic_526000_526000_115458468_avg220_std13_random_n14.mtx	526000	526000	115458468	0.0417	1323.324
synthetic_526000_526000_117594966_avg220_std125_random_n14.mtx	526000	526000	117594966	0.0425	1347.774
synthetic_863000_863000_91183489_avg45_std125_random_n14.mtx	863000	863000	91183489	0.0122	1046.804
synthetic_863000_863000_98812863_avg70_std125_random_n14.mtx	863000	863000	98812863	0.0133	1134.116
synthetic_863000_863000_90183433_avg105_std0.02_random_n14.mtx	863000	863000	90183433	0.0121	1035.36
synthetic_863000_863000_90183433_avg105_std0.2_random_n14.mtx	863000	863000	90183433	0.0121	1035.36
synthetic_863000_863000_90183370_avg105_std0.64_random_n14.mtx	863000	863000	90183370	0.0121	1035.359
synthetic_863000_863000_90183518_avg105_std0.84_random_n14.mtx	863000	863000	90183518	0.0121	1035.361
synthetic_863000_863000_90182763_avg105_std1.6_random_n14.mtx	863000	863000	90182763	0.0121	1035.352
synthetic_863000_863000_90182693_avg105_std2.25_random_n14.mtx	863000	863000	90182693	0.0121	1035.351
synthetic_863000_863000_90182147_avg105_std2.5_random_n14.mtx	863000	863000	90182147	0.0121	1035.345
synthetic_863000_863000_90182280_avg105_std3_random_n14.mtx	863000	863000	90182280	0.0121	1035.346
synthetic_863000_863000_90179895_avg105_std8_random_n14.mtx	863000	863000	90179895	0.0121	1035.319
synthetic_863000_863000_90178438_avg105_std13_random_n14.mtx	863000	863000	90178438	0.0121	1035.302
synthetic_863000_863000_114349754_avg105_std125_random_n14.mtx	863000	863000	114349754	0.0154	1311.921
synthetic_952000_952000_94555668_avg3.1_std125_random_n14.mtx	952000	952000	94555668	0.0104	1085.735
synthetic_952000_952000_94575244_avg4_std125_random_n14.mtx	952000	952000	94575244	0.0104	1085.959
synthetic_952000_952000_94636497_avg6_std125_random_n14.mtx	952000	952000	94636497	0.0104	1086.66
synthetic_952000_952000_94831081_avg10_std125_random_n14.mtx	952000	952000	94831081	0.0105	1088.887
synthetic_952000_952000_95738825_avg20_std125_random_n14.mtx	952000	952000	95738825	0.0106	1099.275
synthetic_952000_952000_100605677_avg45_std125_random_n14.mtx	952000	952000	100605677	0.0111	1154.972
synthetic_952000_952000_109026817_avg70_std125_random_n14.mtx	952000	952000	109026817	0.012	1251.344
synthetic_952000_952000_99484151_avg105_std0.02_random_n14.mtx	952000	952000	99484151	0.011	1142.137
synthetic_952000_952000_99484151_avg105_std0.2_random_n14.mtx	952000	952000	99484151	0.011	1142.137
