filename	nr_rows	nr_cols	nr_nnz	density	mem_footprint	 	time1
synthetic_38000_38000_98780978_avg2600_std0.02_random_g14.mtx	38000	38000	98780978	6.8408	753.784	 	0.0136
synthetic_38000_38000_98780978_avg2600_std0.09_random_g14.mtx	38000	38000	98780978	6.8408	753.784	 	0.0151
synthetic_38000_38000_98780978_avg2600_std0.2_random_g14.mtx	38000	38000	98780978	6.8408	753.784	 	0.0137
synthetic_38000_38000_98780978_avg2600_std0.25_random_g14.mtx	38000	38000	98780978	6.8408	753.784	 	0.0136
synthetic_38000_38000_98780975_avg2600_std0.3_random_g14.mtx	38000	38000	98780975	6.8408	753.784	 	0.0136
synthetic_38000_38000_98780956_avg2600_std0.39_random_g14.mtx	38000	38000	98780956	6.8408	753.784	 	0.0136
synthetic_38000_38000_98780944_avg2600_std0.43_random_g14.mtx	38000	38000	98780944	6.8408	753.784	 	0.0136
synthetic_38000_38000_98781015_avg2600_std0.55_random_g14.mtx	38000	38000	98781015	6.8408	753.784	 	0.0136
synthetic_38000_38000_98780965_avg2600_std0.64_random_g14.mtx	38000	38000	98780965	6.8408	753.784	 	0.0136
synthetic_38000_38000_98780894_avg2600_std0.72_random_g14.mtx	38000	38000	98780894	6.8408	753.783	 	0.0136
synthetic_38000_38000_98780876_avg2600_std0.78_random_g14.mtx	38000	38000	98780876	6.8408	753.783	 	0.0137
synthetic_38000_38000_98780883_avg2600_std0.84_random_g14.mtx	38000	38000	98780883	6.8408	753.783	 	0.0136
synthetic_38000_38000_98780988_avg2600_std0.98_random_g14.mtx	38000	38000	98780988	6.8408	753.784	 	0.0136
synthetic_38000_38000_98781004_avg2600_std1.14_random_g14.mtx	38000	38000	98781004	6.8408	753.784	 	0.0136
synthetic_38000_38000_98781028_avg2600_std1.32_random_g14.mtx	38000	38000	98781028	6.8408	753.784	 	0.0136
synthetic_38000_38000_98780964_avg2600_std1.5_random_g14.mtx	38000	38000	98780964	6.8408	753.784	 	0.0138
synthetic_38000_38000_98780955_avg2600_std1.6_random_g14.mtx	38000	38000	98780955	6.8408	753.784	 	0.0136
synthetic_38000_38000_98780866_avg2600_std2.25_random_g14.mtx	38000	38000	98780866	6.8408	753.783	 	0.0136
synthetic_38000_38000_98780827_avg2600_std2.5_random_g14.mtx	38000	38000	98780827	6.8408	753.783	 	0.0136
synthetic_38000_38000_98780867_avg2600_std3_random_g14.mtx	38000	38000	98780867	6.8408	753.783	 	0.0136
synthetic_38000_38000_98780666_avg2600_std8_random_g14.mtx	38000	38000	98780666	6.8408	753.782	 	0.0136
synthetic_38000_38000_98780463_avg2600_std13_random_g14.mtx	38000	38000	98780463	6.8408	753.78	 	0.0136
synthetic_38000_38000_98775776_avg2600_std125_random_g14.mtx	38000	38000	98775776	6.8404	753.744	 	0.0137
synthetic_47000_47000_122176464_avg2600_std0.02_random_g14.mtx	47000	47000	122176464	5.5308	932.312	 	0.0169
synthetic_47000_47000_122176464_avg2600_std0.09_random_g14.mtx	47000	47000	122176464	5.5308	932.312	 	0.0169
synthetic_47000_47000_122176464_avg2600_std0.2_random_g14.mtx	47000	47000	122176464	5.5308	932.312	 	0.0169
synthetic_47000_47000_122176464_avg2600_std0.25_random_g14.mtx	47000	47000	122176464	5.5308	932.312	 	0.0169
synthetic_47000_47000_122176460_avg2600_std0.3_random_g14.mtx	47000	47000	122176460	5.5308	932.312	 	0.0169
synthetic_47000_47000_122176437_avg2600_std0.39_random_g14.mtx	47000	47000	122176437	5.5308	932.312	 	0.0169
synthetic_47000_47000_122176426_avg2600_std0.43_random_g14.mtx	47000	47000	122176426	5.5308	932.311	 	0.0169
synthetic_47000_47000_122176485_avg2600_std0.55_random_g14.mtx	47000	47000	122176485	5.5309	932.312	 	0.0169
synthetic_47000_47000_122176460_avg2600_std0.64_random_g14.mtx	47000	47000	122176460	5.5308	932.312	 	0.0169
synthetic_47000_47000_122176369_avg2600_std0.72_random_g14.mtx	47000	47000	122176369	5.5308	932.311	 	0.0169
synthetic_47000_47000_122176330_avg2600_std0.78_random_g14.mtx	47000	47000	122176330	5.5308	932.311	 	0.0169
synthetic_47000_47000_122176303_avg2600_std0.84_random_g14.mtx	47000	47000	122176303	5.5308	932.311	 	0.0169
synthetic_47000_47000_122176416_avg2600_std0.98_random_g14.mtx	47000	47000	122176416	5.5308	932.311	 	0.0169
synthetic_47000_47000_122176447_avg2600_std1.14_random_g14.mtx	47000	47000	122176447	5.5308	932.312	 	0.0169
synthetic_47000_47000_122176460_avg2600_std1.32_random_g14.mtx	47000	47000	122176460	5.5308	932.312	 	0.0169
synthetic_47000_47000_122176370_avg2600_std1.5_random_g14.mtx	47000	47000	122176370	5.5308	932.311	 	0.0169
synthetic_47000_47000_122176322_avg2600_std1.6_random_g14.mtx	47000	47000	122176322	5.5308	932.311	 	0.0169
synthetic_47000_47000_122176270_avg2600_std2.25_random_g14.mtx	47000	47000	122176270	5.5308	932.31	 	0.0169
synthetic_47000_47000_122176159_avg2600_std2.5_random_g14.mtx	47000	47000	122176159	5.5308	932.309	 	0.0169
synthetic_47000_47000_122176252_avg2600_std3_random_g14.mtx	47000	47000	122176252	5.5308	932.31	 	0.0169
synthetic_47000_47000_122175795_avg2600_std8_random_g14.mtx	47000	47000	122175795	5.5308	932.307	 	0.0172
synthetic_47000_47000_122175367_avg2600_std13_random_g14.mtx	47000	47000	122175367	5.5308	932.303	 	0.0169
synthetic_47000_47000_122165117_avg2600_std125_random_g14.mtx	47000	47000	122165117	5.5303	932.225	 	0.0169
synthetic_161000_161000_67539537_avg420_std0.02_random_g14.mtx	161000	161000	67539537	0.2606	515.9	 	0.0588
synthetic_161000_161000_67539533_avg420_std0.09_random_g14.mtx	161000	161000	67539533	0.2606	515.9	 	0.0589
synthetic_161000_161000_67539529_avg420_std0.2_random_g14.mtx	161000	161000	67539529	0.2606	515.9	 	0.0589
synthetic_161000_161000_67539527_avg420_std0.25_random_g14.mtx	161000	161000	67539527	0.2606	515.9	 	0.059
synthetic_161000_161000_67539523_avg420_std0.3_random_g14.mtx	161000	161000	67539523	0.2606	515.9	 	0.0589
synthetic_161000_161000_67539456_avg420_std0.39_random_g14.mtx	161000	161000	67539456	0.2606	515.899	 	0.0589
synthetic_161000_161000_67539474_avg420_std0.43_random_g14.mtx	161000	161000	67539474	0.2606	515.899	 	0.0589
synthetic_161000_161000_67539572_avg420_std0.55_random_g14.mtx	161000	161000	67539572	0.2606	515.9	 	0.059
synthetic_161000_161000_67539651_avg420_std0.64_random_g14.mtx	161000	161000	67539651	0.2606	515.901	 	0.0589
synthetic_161000_161000_67539548_avg420_std0.72_random_g14.mtx	161000	161000	67539548	0.2606	515.9	 	0.059
