filename	nr_rows	nr_cols	nr_nnz	density	mem_footprint	 	time1
synthetic_121000_121000_314539459_avg2600_std0.02_random_n14.mtx	121000	121000	314539459	2.1483	2400.207	 	0.0339
synthetic_121000_121000_314539459_avg2600_std0.09_random_n14.mtx	121000	121000	314539459	2.1483	2400.207	 	0.0328
synthetic_121000_121000_314539459_avg2600_std0.2_random_n14.mtx	121000	121000	314539459	2.1483	2400.207	 	0.0339
synthetic_121000_121000_314539457_avg2600_std0.25_random_n14.mtx	121000	121000	314539457	2.1483	2400.207	 	0.0335
synthetic_121000_121000_314539444_avg2600_std0.3_random_n14.mtx	121000	121000	314539444	2.1483	2400.207	 	0.0325
synthetic_121000_121000_314539348_avg2600_std0.39_random_n14.mtx	121000	121000	314539348	2.1483	2400.206	 	0.0323
synthetic_121000_121000_314539369_avg2600_std0.43_random_n14.mtx	121000	121000	314539369	2.1483	2400.207	 	0.0331
synthetic_121000_121000_314539423_avg2600_std0.55_random_n14.mtx	121000	121000	314539423	2.1483	2400.207	 	0.033
synthetic_121000_121000_314539457_avg2600_std0.64_random_n14.mtx	121000	121000	314539457	2.1483	2400.207	 	0.0328
synthetic_121000_121000_314539370_avg2600_std0.72_random_n14.mtx	121000	121000	314539370	2.1483	2400.207	 	0.0331
synthetic_121000_121000_314539234_avg2600_std0.78_random_n14.mtx	121000	121000	314539234	2.1483	2400.205	 	0.0328
synthetic_121000_121000_314539291_avg2600_std0.84_random_n14.mtx	121000	121000	314539291	2.1483	2400.206	 	0.0327
synthetic_121000_121000_314539361_avg2600_std0.98_random_n14.mtx	121000	121000	314539361	2.1483	2400.206	 	0.0322
synthetic_121000_121000_314539321_avg2600_std1.14_random_n14.mtx	121000	121000	314539321	2.1483	2400.206	 	0.0336
synthetic_121000_121000_314539452_avg2600_std1.32_random_n14.mtx	121000	121000	314539452	2.1483	2400.207	 	0.0332
synthetic_121000_121000_314539168_avg2600_std1.5_random_n14.mtx	121000	121000	314539168	2.1483	2400.205	 	0.0328
synthetic_121000_121000_314539119_avg2600_std1.6_random_n14.mtx	121000	121000	314539119	2.1483	2400.205	 	0.0324
synthetic_121000_121000_314538865_avg2600_std2.25_random_n14.mtx	121000	121000	314538865	2.1483	2400.203	 	0.0325
synthetic_121000_121000_314538853_avg2600_std2.5_random_n14.mtx	121000	121000	314538853	2.1483	2400.203	 	0.0323
synthetic_121000_121000_314538873_avg2600_std3_random_n14.mtx	121000	121000	314538873	2.1483	2400.203	 	0.0338
synthetic_121000_121000_314537636_avg2600_std8_random_n14.mtx	121000	121000	314537636	2.1483	2400.193	 	0.0332
synthetic_121000_121000_314536601_avg2600_std13_random_n14.mtx	121000	121000	314536601	2.1483	2400.185	 	0.0321
synthetic_121000_121000_314509920_avg2600_std125_random_n14.mtx	121000	121000	314509920	2.1481	2399.982	 	0.0324
synthetic_141000_141000_366529515_avg2600_std0.02_random_n14.mtx	141000	141000	366529515	1.8436	2796.936	 	0.0374
synthetic_141000_141000_366529515_avg2600_std0.09_random_n14.mtx	141000	141000	366529515	1.8436	2796.936	 	0.0383
synthetic_141000_141000_366529515_avg2600_std0.2_random_n14.mtx	141000	141000	366529515	1.8436	2796.936	 	0.0377
synthetic_141000_141000_366529515_avg2600_std0.25_random_n14.mtx	141000	141000	366529515	1.8436	2796.936	 	0.0375
synthetic_141000_141000_366529497_avg2600_std0.3_random_n14.mtx	141000	141000	366529497	1.8436	2796.936	 	0.0381
synthetic_141000_141000_366529389_avg2600_std0.39_random_n14.mtx	141000	141000	366529389	1.8436	2796.935	 	0.0385
synthetic_141000_141000_366529419_avg2600_std0.43_random_n14.mtx	141000	141000	366529419	1.8436	2796.935	 	0.0382
synthetic_141000_141000_366529487_avg2600_std0.55_random_n14.mtx	141000	141000	366529487	1.8436	2796.936	 	0.0383
