filename	nr_rows	nr_cols	nr_nnz	density	mem_footprint
synthetic_21000_21000_2194564_avg105_std0.02_random_g14.mtx	21000	21000	2194564	0.4976	16.823
synthetic_21000_21000_2194559_avg105_std0.2_random_g14.mtx	21000	21000	2194559	0.4976	16.823
synthetic_21000_21000_2194539_avg105_std0.64_random_g14.mtx	21000	21000	2194539	0.4976	16.823
synthetic_21000_21000_2194483_avg105_std0.84_random_g14.mtx	21000	21000	2194483	0.4976	16.823
synthetic_21000_21000_2194540_avg105_std1.6_random_g14.mtx	21000	21000	2194540	0.4976	16.823
synthetic_21000_21000_2194549_avg105_std2.25_random_g14.mtx	21000	21000	2194549	0.4976	16.823
synthetic_21000_21000_2194544_avg105_std2.5_random_g14.mtx	21000	21000	2194544	0.4976	16.823
synthetic_21000_21000_2194594_avg105_std3_random_g14.mtx	21000	21000	2194594	0.4976	16.824
synthetic_21000_21000_2194828_avg105_std8_random_g14.mtx	21000	21000	2194828	0.4977	16.825
synthetic_21000_21000_2195079_avg105_std13_random_g14.mtx	21000	21000	2195079	0.4978	16.827
synthetic_21000_21000_2210595_avg105_std125_random_g14.mtx	21000	21000	2210595	0.5013	16.946
synthetic_38000_38000_2640978_avg70_std0.02_random_g14.mtx	38000	38000	2640978	0.1829	20.294
synthetic_38000_38000_2640967_avg70_std0.2_random_g14.mtx	38000	38000	2640967	0.1829	20.294
synthetic_38000_38000_2640959_avg70_std0.64_random_g14.mtx	38000	38000	2640959	0.1829	20.294
synthetic_38000_38000_2640884_avg70_std0.84_random_g14.mtx	38000	38000	2640884	0.1829	20.293
synthetic_38000_38000_2640927_avg70_std1.6_random_g14.mtx	38000	38000	2640927	0.1829	20.294
synthetic_38000_38000_2640858_avg70_std2.25_random_g14.mtx	38000	38000	2640858	0.1829	20.293
synthetic_38000_38000_2640810_avg70_std2.5_random_g14.mtx	38000	38000	2640810	0.1829	20.293
synthetic_38000_38000_2640852_avg70_std3_random_g14.mtx	38000	38000	2640852	0.1829	20.293
synthetic_38000_38000_2640592_avg70_std8_random_g14.mtx	38000	38000	2640592	0.1829	20.291
synthetic_38000_38000_2640319_avg70_std13_random_g14.mtx	38000	38000	2640319	0.1828	20.289
synthetic_38000_38000_2652164_avg70_std125_random_g14.mtx	38000	38000	2652164	0.1837	20.379
