filename	nr_rows	nr_cols	nr_nnz	density	mem_footprint
synthetic_21000_21000_54589547_avg2600_std0.02_random_n14.mtx	21000	21000	54589547	12.3786	416.565
synthetic_21000_21000_54589547_avg2600_std0.2_random_n14.mtx	21000	21000	54589547	12.3786	416.565
synthetic_21000_21000_54589570_avg2600_std0.64_random_n14.mtx	21000	21000	54589570	12.3786	416.565
synthetic_21000_21000_54589579_avg2600_std0.84_random_n14.mtx	21000	21000	54589579	12.3786	416.566
synthetic_21000_21000_54589545_avg2600_std1.6_random_n14.mtx	21000	21000	54589545	12.3786	416.565
synthetic_21000_21000_54589569_avg2600_std2.25_random_n14.mtx	21000	21000	54589569	12.3786	416.565
synthetic_21000_21000_54589618_avg2600_std2.5_random_n14.mtx	21000	21000	54589618	12.3786	416.566
synthetic_21000_21000_54589680_avg2600_std3_random_n14.mtx	21000	21000	54589680	12.3786	416.566
synthetic_21000_21000_54589874_avg2600_std8_random_n14.mtx	21000	21000	54589874	12.3787	416.568
synthetic_21000_21000_54590033_avg2600_std13_random_n14.mtx	21000	21000	54590033	12.3787	416.569
synthetic_21000_21000_54594718_avg2600_std125_random_n14.mtx	21000	21000	54594718	12.3798	416.605
synthetic_83000_83000_34818499_avg420_std0.02_random_n14.mtx	83000	83000	34818499	0.5054	265.961
synthetic_83000_83000_34818499_avg420_std0.2_random_n14.mtx	83000	83000	34818499	0.5054	265.961
synthetic_83000_83000_34818598_avg420_std0.64_random_n14.mtx	83000	83000	34818598	0.5054	265.961
synthetic_83000_83000_34818438_avg420_std0.84_random_n14.mtx	83000	83000	34818438	0.5054	265.96
synthetic_83000_83000_34818461_avg420_std1.6_random_n14.mtx	83000	83000	34818461	0.5054	265.96
synthetic_83000_83000_34818356_avg420_std2.25_random_n14.mtx	83000	83000	34818356	0.5054	265.96
synthetic_83000_83000_34818334_avg420_std2.5_random_n14.mtx	83000	83000	34818334	0.5054	265.959
synthetic_83000_83000_34818430_avg420_std3_random_n14.mtx	83000	83000	34818430	0.5054	265.96
synthetic_83000_83000_34818146_avg420_std8_random_n14.mtx	83000	83000	34818146	0.5054	265.958
synthetic_83000_83000_34818032_avg420_std13_random_n14.mtx	83000	83000	34818032	0.5054	265.957
synthetic_83000_83000_34814650_avg420_std125_random_n14.mtx	83000	83000	34814650	0.5054	265.931
synthetic_121000_121000_50759459_avg420_std0.02_random_n14.mtx	121000	121000	50759459	0.3467	387.726
synthetic_121000_121000_50759459_avg420_std0.2_random_n14.mtx	121000	121000	50759459	0.3467	387.726
synthetic_121000_121000_50759457_avg420_std0.64_random_n14.mtx	121000	121000	50759457	0.3467	387.726
synthetic_121000_121000_50759291_avg420_std0.84_random_n14.mtx	121000	121000	50759291	0.3467	387.724
synthetic_121000_121000_50759119_avg420_std1.6_random_n14.mtx	121000	121000	50759119	0.3467	387.723
synthetic_121000_121000_50758865_avg420_std2.25_random_n14.mtx	121000	121000	50758865	0.3467	387.721
synthetic_121000_121000_50758853_avg420_std2.5_random_n14.mtx	121000	121000	50758853	0.3467	387.721
synthetic_121000_121000_50758873_avg420_std3_random_n14.mtx	121000	121000	50758873	0.3467	387.721
synthetic_121000_121000_50757636_avg420_std8_random_n14.mtx	121000	121000	50757636	0.3467	387.712
synthetic_121000_121000_50756601_avg420_std13_random_n14.mtx	121000	121000	50756601	0.3467	387.704
synthetic_121000_121000_50733086_avg420_std125_random_n14.mtx	121000	121000	50733086	0.3465	387.524
synthetic_141000_141000_59149515_avg420_std0.02_random_n14.mtx	141000	141000	59149515	0.2975	451.813
synthetic_141000_141000_59149515_avg420_std0.2_random_n14.mtx	141000	141000	59149515	0.2975	451.813
synthetic_141000_141000_59149512_avg420_std0.64_random_n14.mtx	141000	141000	59149512	0.2975	451.813
synthetic_141000_141000_59149435_avg420_std0.84_random_n14.mtx	141000	141000	59149435	0.2975	451.812
synthetic_141000_141000_59149294_avg420_std1.6_random_n14.mtx	141000	141000	59149294	0.2975	451.811
synthetic_141000_141000_59149040_avg420_std2.25_random_n14.mtx	141000	141000	59149040	0.2975	451.809
synthetic_141000_141000_59149082_avg420_std2.5_random_n14.mtx	141000	141000	59149082	0.2975	451.81
synthetic_141000_141000_59149030_avg420_std3_random_n14.mtx	141000	141000	59149030	0.2975	451.809
synthetic_141000_141000_59148247_avg420_std8_random_n14.mtx	141000	141000	59148247	0.2975	451.803
synthetic_141000_141000_59147656_avg420_std13_random_n14.mtx	141000	141000	59147656	0.2975	451.799
synthetic_141000_141000_59133192_avg420_std125_random_n14.mtx	141000	141000	59133192	0.2974	451.688
synthetic_161000_161000_35339454_avg220_std0.02_random_n14.mtx	161000	161000	35339454	0.1363	270.233
synthetic_161000_161000_35339454_avg220_std0.2_random_n14.mtx	161000	161000	35339454	0.1363	270.233
synthetic_161000_161000_35339436_avg220_std0.64_random_n14.mtx	161000	161000	35339436	0.1363	270.233
synthetic_161000_161000_35339380_avg220_std0.84_random_n14.mtx	161000	161000	35339380	0.1363	270.232
synthetic_161000_161000_35339253_avg220_std1.6_random_n14.mtx	161000	161000	35339253	0.1363	270.231
synthetic_161000_161000_35338982_avg220_std2.25_random_n14.mtx	161000	161000	35338982	0.1363	270.229
synthetic_161000_161000_35338973_avg220_std2.5_random_n14.mtx	161000	161000	35338973	0.1363	270.229
