matrix,armpl,sparsex,dictionary
TSOPF_RS_b300_c3,246.143709,180.169272,80.245439
Chebyshev4,236.907075,100.838848,44.531390
consph,242.520641,157.838235,50.123464
com-Youtube,40.525164,25.688349,39.952747
radiation,181.340235,102.200013,40.935274
Stanford_Berkeley,126.771764,54.936922,115.067225
shipsec1,250.337344,153.025845,119.324362
PR02R,236.747659,136.571153,45.051868
CurlCurl_2,232.165945,68.725759,158.333027
gupta3,239.482092,140.196639,180.686132
TSOPF_RS_b2383,160.304418,201.645581,42.844017
in-2004,104.576259,58.080239,119.296844
Ga41As41H72,116.050542,122.008361,50.807958
rajat31,69.306489,31.920794,119.874044
ldoor,67.540163,95.201502,16.586355
circuit5M,54.043570,43.983311,81.474624
soc-LiveJournal1,30.164928,24.153883,38.212344
bone010,82.133559,87.306060,172.059693
audikw_1,60.365799,86.443881,12.319790
cage15,55.056333,50.457031,89.936507
TSOPF_RS_b300_c3,249.276984,170.808199,85.521391
Chebyshev4,240.569959,102.075065,40.606566
consph,253.445006,154.590535,48.734741
com-Youtube,40.777943,25.737893,38.877309
radiation,184.118870,101.342471,39.389068
Stanford_Berkeley,125.406984,55.382064,115.309115
shipsec1,254.003576,158.621226,110.081472
PR02R,240.649935,142.096888,44.469722
CurlCurl_2,233.239477,70.816420,156.601602
gupta3,233.830278,168.355584,182.155107
TSOPF_RS_b2383,165.032558,200.174462,42.510932
in-2004,103.112995,57.764811,117.754295
Ga41As41H72,120.200997,117.905841,47.658219
rajat31,69.584490,31.726584,117.967290
ldoor,67.314004,95.613904,16.699498
circuit5M,54.124850,44.159206,81.231168
soc-LiveJournal1,30.398555,24.429945,38.318038
bone010,81.984177,86.807389,173.278932
audikw_1,60.572824,86.460581,12.227907
cage15,54.892496,50.285561,88.063552
TSOPF_RS_b300_c3,232.419819,174.176991,103.086355
Chebyshev4,246.221795,101.843095,45.029739
consph,247.613614,158.119554,48.785918
com-Youtube,40.904048,24.982967,38.838772
radiation,180.657696,102.583847,40.231258
Stanford_Berkeley,128.544869,55.032954,116.378391
shipsec1,253.763309,101.289110,118.012989
PR02R,242.881473,141.290208,43.745224
CurlCurl_2,235.511372,65.892638,156.260467
gupta3,251.532435,176.085234,188.350158
TSOPF_RS_b2383,152.127469,200.651655,42.890209
in-2004,102.689953,53.853112,113.905550
Ga41As41H72,115.827160,120.313929,47.839619
rajat31,70.008879,31.756333,120.996517
ldoor,67.426637,93.206594,16.702973
circuit5M,53.563907,43.995680,80.930967
soc-LiveJournal1,30.372253,24.155278,38.411012
bone010,81.012287,86.289415,171.537025
audikw_1,61.109234,84.837313,12.334446
cage15,55.107004,50.252543,89.406308
TSOPF_RS_b300_c3,226.986943,174.861043,97.537748
Chebyshev4,236.321474,99.528035,44.788875
consph,252.800084,154.948215,49.573576
com-Youtube,40.153808,25.649066,39.750913
radiation,183.121208,103.312870,41.244419
Stanford_Berkeley,124.786612,55.651832,112.887334
shipsec1,250.034929,157.532277,118.608648
PR02R,237.851843,139.530165,43.985445
CurlCurl_2,233.478286,65.789203,156.144921
gupta3,239.952053,172.806862,185.063905
TSOPF_RS_b2383,161.887135,198.445427,42.601420
in-2004,104.067477,58.171209,117.278166
Ga41As41H72,119.814341,120.243016,50.335007
rajat31,69.330880,31.605206,119.695539
ldoor,67.360202,93.460874,16.428407
circuit5M,54.216261,44.065428,81.183487
soc-LiveJournal1,30.240301,24.411503,37.932080
bone010,81.349891,86.508776,170.571361
audikw_1,60.497801,86.613666,12.270606
cage15,55.747044,49.705440,88.246947
TSOPF_RS_b300_c3,233.142668,172.176724,101.528617
Chebyshev4,234.875187,102.832877,44.544070
consph,241.994585,158.859790,49.920671
com-Youtube,40.395235,25.876830,38.895688
radiation,177.912863,102.907623,40.124444
Stanford_Berkeley,130.255474,54.351037,115.156558
shipsec1,245.881401,157.433481,119.011976
PR02R,243.129471,141.003910,45.139479
CurlCurl_2,232.411640,70.557747,157.477494
gupta3,249.672512,172.890178,182.529999
TSOPF_RS_b2383,159.003268,198.992729,42.600887
in-2004,104.493900,57.907250,116.954862
Ga41As41H72,123.341407,120.423347,50.231347
rajat31,69.930923,31.718795,119.177879
ldoor,67.776647,95.207737,16.665020
circuit5M,54.348432,44.170249,80.391395
soc-LiveJournal1,30.377431,24.331047,37.918763
bone010,80.622621,87.103492,169.751199
audikw_1,60.717050,79.380943,12.275995
cage15,55.474113,50.110790,90.238927
