matrix_name	nr_cols	bw_total	avg-parts	std-parts	varcoeff-parts
cage15.sorted	5154859	1092607.23	6.25	7.78	124.4
circuit5M.sorted	5558326	2793149.88	6.25	13.09	209.52
bone010.sorted	986703	17931.37	6.25	9.95	159.19
ldoor.sorted	952203	194446.25	6.25	7.07	113.07
rajat31.sorted	4690002	4557.09	6.25	11.73	187.75
TSOPF_RS_b2383.sorted	38120	18422.08	6.25	10.64	170.29
Ga41As41H72.sorted	268096	46185.57	6.25	5.88	94.12
wikipedia-20051105.sorted	1634989	555995.14	3.24	5.71	176.25
eu-2005.sorted	862664	214717.96	5.36	7.18	134.09
PR02R.sorted	161070	6376.07	6.23	5.61	90.05
Si41Ge41H72.sorted	185639	35928.15	6.25	5.24	83.81
in-2004.sorted	1382908	29733.21	4.39	6.98	159.0
Chebyshev4.sorted	68121	3089.79	6.25	4.27	68.29
rail4284.real	1096894	1048128.07	6.25	4.33	69.28
pwtk.sorted	217918	12927.05	6.25	9.09	145.48
crankseg_2.sorted	63838	55268.93	6.25	4.33	69.28
TSOPF_RS_b300_c3.sorted	42138	25564.97	6.25	11.16	178.64
shipsec1.sorted	140874	6462.67	6.25	7.36	117.72
consph.sorted	83334	5817.66	5.98	9.29	155.51
webbase-1M.sorted	1000005	152463.66	6.21	15.92	256.27
mip1.sorted	66463	39232.11	6.25	11.76	188.16
rma10.sorted	46835	8794.27	6.25	8.35	133.58
cant.sorted	62451	537.33	6.23	7.58	121.78
conf5_4-8x8-15.real	49152	12027.03	6.25	6.14	98.24
pdb1HYS.sorted	36417	4731.94	6.25	7.4	118.47
bbmat.sorted	38744	1158.22	6.25	7.18	114.89
raefsky3.sorted	21200	1403.45	6.25	10.33	165.26
mc2depi.real	525825	705.75	6.25	11.18	178.89
mac_econ_fwd500.sorted	206500	393.99	6.25	10.04	160.62
scircuit.sorted	170998	50829.59	6.25	11.89	190.35
cop20k_A.sorted	121192	75509.28	5.15	4.21	81.71
