matrix_name	nr_cols	bw_total	avg-parts	std-parts	varcoeff-parts	part 0	part 1
cage15.sorted	5154859	1092607.23	50.0	23.87	47.74	66.88	33.12
circuit5M.sorted	5558326	2793149.88	50.0	35.52	71.05	75.11	24.88
bone010.sorted	986703	17931.37	50.0	2.06	4.12	48.54	51.46
ldoor.sorted	952203	194446.25	50.0	18.34	36.68	37.03	62.97
rajat31.sorted	4690002	4557.09	49.99	4.58	9.17	53.23	46.75
TSOPF_RS_b2383.sorted	38120	18422.08	50.0	29.6	59.2	70.93	29.07
Ga41As41H72.sorted	268096	46185.57	50.0	0.06	0.11	50.04	49.96
wikipedia-20051105.sorted	1634989	555995.14	25.91	16.14	62.31	37.32	14.49
eu-2005.sorted	862664	214717.96	42.85	0.51	1.19	42.49	43.22
PR02R.sorted	161070	6376.07	49.87	0.83	1.66	49.29	50.46
Si41Ge41H72.sorted	185639	35928.15	50.0	0.12	0.25	49.91	50.09
in-2004.sorted	1382908	29733.21	35.12	1.8	5.11	36.39	33.85
Chebyshev4.sorted	68121	3089.79	50.0	2.74	5.49	48.06	51.94
rail4284.real	1096894	1048128.07	50.0	12.08	24.17	41.46	58.54
pwtk.sorted	217918	12927.05	50.0	3.71	7.41	47.38	52.62
crankseg_2.sorted	63838	55268.93	50.0	10.01	20.02	57.08	42.92
TSOPF_RS_b300_c3.sorted	42138	25564.97	50.0	34.02	68.04	74.05	25.95
shipsec1.sorted	140874	6462.67	50.0	2.69	5.37	51.9	48.1
consph.sorted	83334	5817.66	47.81	0.83	1.74	47.22	48.39
webbase-1M.sorted	1000005	152463.66	49.71	0.81	1.63	50.28	49.13
mip1.sorted	66463	39232.11	50.0	45.0	90.01	18.18	81.82
rma10.sorted	46835	8794.27	50.0	7.51	15.02	44.69	55.31
cant.sorted	62451	537.33	49.81	0.77	1.54	49.26	50.35
conf5_4-8x8-15.real	49152	12027.03	50.0	0.0	0.0	50.0	50.0
pdb1HYS.sorted	36417	4731.94	50.0	1.66	3.33	48.82	51.18
bbmat.sorted	38744	1158.22	50.0	1.56	3.12	51.1	48.9
raefsky3.sorted	21200	1403.45	50.0	1.38	2.76	49.02	50.98
mc2depi.real	525825	705.75	50.0	35.29	70.57	25.05	74.95
mac_econ_fwd500.sorted	206500	393.99	50.0	3.42	6.83	52.41	47.58
scircuit.sorted	170998	50829.59	49.99	0.88	1.77	49.36	50.61
cop20k_A.sorted	121192	75509.28	41.19	13.06	31.7	31.96	50.42
