matrix_name	nr_cols	bw_total	avg-parts	std-parts	varcoeff-parts	part 0	part 1	part 2	part 3	part 4	part 5	part 6	part 7
cage15.sorted	5154859	1092607.23	12.5	11.27	90.19	39.21	13.95	11.59	10.3	8.31	7.45	4.16	5.03
circuit5M.sorted	5558326	2793149.88	12.5	20.8	166.39	59.96	24.6	7.57	3.46	1.99	0.22	0.2	2.0
bone010.sorted	986703	17931.37	12.5	13.82	110.57	35.26	1.51	1.51	12.21	15.99	1.51	1.51	30.49
ldoor.sorted	952203	194446.25	12.5	12.19	97.5	24.16	5.64	5.4	6.32	7.02	6.51	6.62	38.34
rajat31.sorted	4690002	4557.09	12.5	14.67	117.38	37.87	25.24	24.67	6.93	5.26	0.0	0.0	0.0
TSOPF_RS_b2383.sorted	38120	18422.08	12.5	15.4	123.16	43.92	19.08	20.76	13.5	1.65	0.61	0.24	0.24
Ga41As41H72.sorted	268096	46185.57	12.5	9.31	74.5	7.12	7.65	8.2	27.62	27.5	8.02	7.37	6.5
wikipedia-20051105.sorted	1634989	555995.14	6.48	8.58	132.44	26.74	8.79	5.48	3.89	2.65	1.78	1.35	1.14
eu-2005.sorted	862664	214717.96	10.71	10.04	93.7	33.45	9.98	6.79	5.92	5.12	4.31	3.88	16.25
PR02R.sorted	161070	6376.07	12.47	5.17	41.47	7.0	9.95	13.86	18.01	21.19	10.04	13.2	6.49
Si41Ge41H72.sorted	185639	35928.15	12.5	8.46	67.71	7.45	8.11	8.88	26.07	26.28	8.69	7.75	6.78
in-2004.sorted	1382908	29733.21	8.78	9.01	102.68	29.39	13.06	6.64	5.59	3.45	2.69	2.25	7.17
Chebyshev4.sorted	68121	3089.79	12.5	5.75	46.01	20.08	4.22	15.82	8.02	11.98	11.9	8.1	19.88
rail4284.real	1096894	1048128.07	12.5	6.8	54.42	14.27	11.24	8.64	9.06	8.32	10.8	9.05	28.63
pwtk.sorted	217918	12927.05	12.5	12.89	103.13	33.26	2.43	3.15	9.42	15.8	3.13	2.19	30.64
crankseg_2.sorted	63838	55268.93	12.5	5.2	41.6	20.33	10.01	13.51	13.98	16.37	8.39	3.33	14.09
TSOPF_RS_b300_c3.sorted	42138	25564.97	12.5	16.23	129.84	45.88	19.05	21.32	13.11	0.4	0.17	0.05	0.03
shipsec1.sorted	140874	6462.67	12.5	10.85	86.8	31.48	4.29	3.61	14.64	15.08	3.25	3.41	24.25
consph.sorted	83334	5817.66	11.95	13.13	109.9	33.51	1.72	1.96	9.03	15.6	1.97	2.04	29.8
webbase-1M.sorted	1000005	152463.66	12.43	21.47	172.8	48.75	45.58	2.85	0.98	0.4	0.23	0.16	0.47
mip1.sorted	66463	39232.11	12.5	19.93	159.43	16.22	4.75	4.74	4.06	3.61	3.1	2.9	60.62
rma10.sorted	46835	8794.27	12.5	14.33	114.61	34.94	5.1	4.39	5.4	5.57	4.09	4.08	36.43
cant.sorted	62451	537.33	12.45	13.48	108.24	33.69	1.73	1.63	10.92	17.91	1.63	1.67	30.42
conf5_4-8x8-15.real	49152	12027.03	12.5	13.18	105.48	35.77	11.57	2.56	6.3	6.11	1.56	5.52	30.61
pdb1HYS.sorted	36417	4731.94	12.5	12.11	96.89	33.18	7.05	5.7	4.43	4.85	6.36	7.54	30.87
bbmat.sorted	38744	1158.22	12.5	12.54	100.34	4.83	6.16	6.86	33.62	31.9	6.39	5.98	4.26
raefsky3.sorted	21200	1403.45	12.5	14.02	112.19	34.17	1.45	1.44	8.5	20.65	1.49	1.44	30.85
mc2depi.real	525825	705.75	12.5	13.36	106.91	25.05	25.05	25.05	24.85	0.0	0.0	0.0	0.0
mac_econ_fwd500.sorted	206500	393.99	12.5	13.15	105.17	40.37	22.32	13.53	8.53	6.99	4.31	2.53	1.42
scircuit.sorted	170998	50829.59	12.5	15.14	121.18	45.02	21.19	14.56	12.16	3.87	1.63	0.86	0.67
cop20k_A.sorted	121192	75509.28	10.3	8.79	85.39	27.74	4.82	3.58	4.56	6.3	6.97	8.24	20.17
