matrix_name	nr_cols	bw_total	avg-parts	std-parts	varcoeff-parts	part 0	part 1	part 2	part 3	part 4	part 5	part 6	part 7	part 8	part 9	part 10	part 11	part 12	part 13	part 14	part 15
cage15.sorted	5154859	1092607.23	53181.79	116086.6	218.28	31015.98	150926.3	29713.04	158676.36	1626.81	3517.99	22926.87	443856.02	9.66	6.33	12.22	38.66	159.73	624.47	1361.24	6437.0
circuit5M.sorted	5558326	2793149.88	174522.03	611623.86	350.46	166502.69	2459267.27	4.88	18.34	0.55	0.33	0.32	28.0	16155.54	150344.86	2.59	2.35	2.35	2.34	2.58	17.45
bone010.sorted	986703	17931.37	931.21	2169.62	232.99	3.45	87.88	10.53	85.34	215.92	6462.2	403.93	86.16	5.91	68.3	6498.09	170.32	229.88	406.49	85.68	79.3
ldoor.sorted	952203	194446.25	9349.18	14064.81	150.44	1.57	580.73	48074.2	32340.86	13760.38	30.19	1.57	1.59	37.56	16040.89	15912.96	6435.53	22.49	1.56	1.56	16343.19
rajat31.sorted	4690002	4557.09	284.2	848.97	298.73	3213.75	1332.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99
TSOPF_RS_b2383.sorted	38120	18422.08	715.03	1873.37	262.0	422.09	234.73	52.7	39.03	26.87	3462.51	25.83	26.01	25.73	25.73	25.73	25.73	25.73	25.73	25.73	6970.62
Ga41As41H72.sorted	268096	46185.57	2204.22	4347.07	197.22	5176.41	3928.01	3276.54	259.54	205.74	267.65	256.84	2483.81	144.26	178.63	200.65	144.06	293.11	324.63	781.09	17346.5
wikipedia-20051105.sorted	1634989	555995.14	27762.42	31643.2	113.98	46230.35	68751.84	22279.11	87704.3	7349.85	13288.78	15214.16	86522.18	1983.0	2516.33	3177.3	4035.12	5127.55	6610.04	8868.03	64540.75
eu-2005.sorted	862664	214717.96	11462.56	19152.1	167.08	73466.1	15607.55	5325.81	20905.46	2400.43	2831.65	3785.89	26350.65	460.85	381.96	501.32	556.91	656.01	922.53	1477.97	27769.89
PR02R.sorted	161070	6376.07	287.44	434.0	150.99	676.13	195.61	10.35	226.2	106.84	333.17	21.96	15.16	27.96	408.77	217.36	641.04	6.33	12.12	11.48	1688.51
Si41Ge41H72.sorted	185639	35928.15	1734.37	3216.16	185.44	4352.91	2925.49	2538.86	210.33	315.27	103.35	374.08	2255.6	60.7	283.03	139.65	151.8	275.17	340.4	647.91	12775.45
in-2004.sorted	1382908	29733.21	1693.38	3326.05	196.41	12445.02	5619.04	468.24	4273.24	66.57	84.35	607.75	2331.21	19.32	20.65	16.16	16.48	15.79	47.54	29.43	1033.34
Chebyshev4.sorted	68121	3089.79	159.61	196.04	122.82	69.02	552.11	72.85	561.73	68.95	68.98	550.1	78.5	65.19	69.04	65.22	65.17	69.06	65.17	65.17	67.54
