matrix_name	nr_cols	bw_total	avg-parts	std-parts	varcoeff-parts
cage15.sorted	5154859	1092607.23	53181.79	116086.6	218.28
circuit5M.sorted	5558326	2793149.88	174522.03	611623.86	350.46
bone010.sorted	986703	17931.37	931.21	2169.62	232.99
ldoor.sorted	952203	194446.25	9349.18	14064.81	150.44
rajat31.sorted	4690002	4557.09	284.2	848.97	298.73
TSOPF_RS_b2383.sorted	38120	18422.08	715.03	1873.37	262.0
Ga41As41H72.sorted	268096	46185.57	2204.22	4347.07	197.22
wikipedia-20051105.sorted	1634989	555995.14	27762.42	31643.2	113.98
eu-2005.sorted	862664	214717.96	11462.56	19152.1	167.08
PR02R.sorted	161070	6376.07	287.44	434.0	150.99
Si41Ge41H72.sorted	185639	35928.15	1734.37	3216.16	185.44
in-2004.sorted	1382908	29733.21	1693.38	3326.05	196.41
Chebyshev4.sorted	68121	3089.79	159.61	196.04	122.82
rail4284.real	1096894	1048128.07	63695.83	45168.56	70.91
pwtk.sorted	217918	12927.05	78.8	169.14	214.64
crankseg_2.sorted	63838	55268.93	2804.49	2948.68	105.14
TSOPF_RS_b300_c3.sorted	42138	25564.97	970.05	2751.35	283.63
shipsec1.sorted	140874	6462.67	59.78	114.08	190.84
consph.sorted	83334	5817.66	297.65	647.51	217.55
webbase-1M.sorted	1000005	152463.66	9401.74	36071.85	383.67
mip1.sorted	66463	39232.11	1888.32	4762.51	252.21
rma10.sorted	46835	8794.27	317.08	506.27	159.67
cant.sorted	62451	537.33	23.29	29.39	126.19
conf5_4-8x8-15.real	49152	12027.03	672.45	1699.83	252.78
pdb1HYS.sorted	36417	4731.94	235.77	210.02	89.08
bbmat.sorted	38744	1158.22	63.05	101.17	160.46
raefsky3.sorted	21200	1403.45	5.3	5.26	99.41
mc2depi.real	525825	705.75	29.51	117.79	399.1
mac_econ_fwd500.sorted	206500	393.99	18.43	40.03	217.2
scircuit.sorted	170998	50829.59	2511.13	6796.69	270.66
cop20k_A.sorted	121192	75509.28	3174.62	5488.41	172.88
