matrix_name	nr_cols	bw_total	avg-parts	std-parts	varcoeff-parts	part 0	part 1
cage15.sorted	5154859	1092607.23	544916.24	199621.23	36.63	403762.71	686069.77
circuit5M.sorted	5558326	2793149.88	1396540.21	1735349.08	124.26	169463.11	2623617.31
bone010.sorted	986703	17931.37	8371.88	5.72	0.07	8375.93	8367.84
ldoor.sorted	952203	194446.25	93855.24	56206.47	59.89	133599.22	54111.26
rajat31.sorted	4690002	4557.09	2273.56	1329.64	58.48	3213.76	1333.37
TSOPF_RS_b2383.sorted	38120	18422.08	5727.54	2359.15	41.19	4059.37	7395.72
Ga41As41H72.sorted	268096	46185.57	23086.87	4.36	0.02	23083.78	23089.95
wikipedia-20051105.sorted	1634989	555995.14	260628.84	241661.05	92.72	89748.67	431509.02
eu-2005.sorted	862664	214717.96	104712.35	5734.23	5.48	108767.06	100657.64
PR02R.sorted	161070	6376.07	2808.53	15.23	0.54	2819.3	2797.77
Si41Ge41H72.sorted	185639	35928.15	17961.71	17.4	0.1	17974.02	17949.41
in-2004.sorted	1382908	29733.21	14553.79	563.55	3.87	14952.28	14155.29
Chebyshev4.sorted	68121	3089.79	1541.01	1.37	0.09	1540.04	1541.98
rail4284.real	1096894	1048128.07	522601.72	134369.58	25.71	617615.37	427588.08
pwtk.sorted	217918	12927.05	6328.08	6548.99	103.49	10958.91	1697.24
crankseg_2.sorted	63838	55268.93	27593.75	4988.14	18.08	24066.61	31120.9
TSOPF_RS_b300_c3.sorted	42138	25564.97	7763.93	3546.3	45.68	5256.31	10271.54
shipsec1.sorted	140874	6462.67	3078.1	217.19	7.06	2924.53	3231.68
consph.sorted	83334	5817.66	2871.96	57.06	1.99	2912.31	2831.62
webbase-1M.sorted	1000005	152463.66	75548.08	98955.07	130.98	145519.88	5576.28
mip1.sorted	66463	39232.11	18731.99	17884.91	95.48	31378.54	6085.45
rma10.sorted	46835	8794.27	4317.04	2814.51	65.2	6307.2	2326.88
cant.sorted	62451	537.33	266.74	2.29	0.86	265.12	268.36
conf5_4-8x8-15.real	49152	12027.03	6013.02	0.71	0.01	6012.52	6013.52
pdb1HYS.sorted	36417	4731.94	2352.38	3.15	0.13	2350.15	2354.61
bbmat.sorted	38744	1158.22	578.14	7.36	1.27	572.93	583.34
raefsky3.sorted	21200	1403.45	684.78	0.65	0.1	684.32	685.25
mc2depi.real	525825	705.75	236.1	332.49	140.83	471.21	0.99
mac_econ_fwd500.sorted	206500	393.99	154.52	1.01	0.65	153.81	155.24
scircuit.sorted	170998	50829.59	21303.35	10969.92	51.49	29060.26	13546.44
cop20k_A.sorted	121192	75509.28	36308.81	23315.07	64.21	52795.05	19822.57
