matrix	nr_rows	nr_cols	nr_nzeros	density	nnz-r-min	nnz-r-max	nnz-r-avg	nnz-r-std	nnz-c-min	nnz-c-max	nnz-c-avg	nnz-c-std	skew_coeff	bw-min	bw-max	bw-avg	bw-std	bw-scaled-min	bw-scaled-max	bw-scaled-avg	bw-scaled-std	sc-min	sc-max	sc-avg	sc-std	sc-scaled-min	sc-scaled-max	sc-scaled-avg	sc-scaled-std	nr_groups-r-min	nr_groups-r-max	nr_groups-r-avg	nr_groups-r-std	num-neigh-avg	cross_row_sim-avg
1138_bus	1138	1138	4054	0.003130	2.000000	18.000000	3.562390	1.802183	2.000000	18.000000	3.562390	1.802183	4.052787	1.000000	1055.000000	148.574692	211.978744	0.000879	0.927065	0.130558	0.186273	0.002907	2.000000	0.338918	0.560409	3.308140	2276.000000	385.689057	637.745818	1.000000	14.000000	2.905097	1.422809	0.369018	0.522039
494_bus	494	494	1666	0.006827	2.000000	10.000000	3.372470	1.418120	2.000000	10.000000	3.372470	1.418120	1.965186	1.000000	442.000000	159.678138	143.815375	0.002024	0.894737	0.323235	0.291124	0.004684	2.000000	0.385902	0.617508	2.313817	988.000000	190.635420	305.049008	1.000000	7.000000	2.789474	1.202313	0.345738	0.531259
662_bus	662	662	2474	0.005645	2.000000	10.000000	3.737160	1.484190	2.000000	10.000000	3.737160	1.484190	1.675829	1.000000	414.000000	138.543807	96.521245	0.001511	0.625378	0.209281	0.145802	0.005970	2.000000	0.106397	0.307454	3.952239	1324.000000	70.434818	203.534782	1.000000	9.000000	3.445619	1.322329	0.156023	0.381838
685_bus	685	685	3249	0.006924	2.000000	13.000000	4.743066	1.791619	2.000000	13.000000	4.743066	1.791619	1.740843	1.000000	631.000000	89.267153	115.685454	0.001460	0.921168	0.130317	0.168884	0.004090	2.000000	0.213394	0.310880	2.801636	1370.000000	146.174725	212.952477	1.000000	11.000000	3.691971	1.439792	0.443213	0.493037
abb313	313	176	1557	0.028264	1.000000	6.000000	4.974441	0.845578	2.000000	26.000000	8.846591	3.901382	0.206166	0.000000	119.000000	91.341853	18.963764	0.000000	0.676136	0.518988	0.107749	0.000000	0.090909	0.055003	0.014010	0.000000	16.000000	9.680498	2.465835	1.000000	4.000000	2.555911	0.540002	0.972383	0.807987
arc130	130	130	1282	0.075858	1.000000	124.000000	9.861538	14.807874	1.000000	124.000000	9.861538	17.825977	11.574103	0.000000	129.000000	74.030769	34.756281	0.000000	0.992308	0.569467	0.267356	0.000000	0.961240	0.167920	0.214774	0.000000	124.961240	21.829537	27.920561	1.000000	24.000000	5.715385	5.498580	0.840874	0.899590
ash219	219	85	438	0.023529	2.000000	2.000000	2.000000	0.000000	2.000000	9.000000	5.152941	1.401729	0.000000	1.000000	39.000000	9.881279	10.305142	0.011765	0.458824	0.116250	0.121237	0.051282	2.000000	0.850016	0.845313	4.358974	170.000000	72.251327	71.851606	1.000000	2.000000	1.666667	0.471405	0.333333	0.787671
ash292	292	292	2208	0.025896	4.000000	14.000000	7.561644	1.747690	4.000000	14.000000	7.561644	1.747690	0.851449	3.000000	47.000000	27.732877	13.127818	0.010274	0.160959	0.094976	0.044958	0.100000	1.333333	0.388264	0.299315	29.200000	389.333333	113.373054	87.400033	1.000000	7.000000	3.472603	1.332909	1.081522	0.775216
ash331	331	104	662	0.019231	2.000000	2.000000	2.000000	0.000000	3.000000	12.000000	6.365385	1.704393	0.000000	1.000000	21.000000	5.912387	4.759617	0.009615	0.201923	0.056850	0.045766	0.095238	2.000000	0.843697	0.762738	9.904762	208.000000	87.744520	79.324769	1.000000	2.000000	1.722054	0.447986	0.277946	0.844411
ash608	608	188	1216	0.010638	2.000000	2.000000	2.000000	0.000000	2.000000	12.000000	6.468085	1.766726	0.000000	1.000000	24.000000	10.042763	8.232726	0.005319	0.127660	0.053419	0.043791	0.083333	2.000000	0.708698	0.758533	15.666667	376.000000	133.235190	142.604282	1.000000	2.000000	1.771382	0.419943	0.228618	0.788651
ash85	85	85	523	0.072388	3.000000	10.000000	6.152941	1.401729	3.000000	10.000000	6.152941	1.401729	0.625239	2.000000	51.000000	26.117647	11.629993	0.023529	0.600000	0.307266	0.136823	0.096774	1.500000	0.327367	0.268463	8.225806	127.500000	27.826190	22.819342	1.000000	5.000000	2.905882	0.940882	1.055449	0.781965
ash958	958	292	1916	0.006849	2.000000	2.000000	2.000000	0.000000	3.000000	13.000000	6.561644	1.747690	0.000000	1.000000	24.000000	9.590814	8.019262	0.003425	0.082192	0.032845	0.027463	0.083333	2.000000	0.725383	0.767575	24.333333	584.000000	211.811818	224.131762	1.000000	2.000000	1.759916	0.427134	0.240084	0.804280
bcspwr01	39	39	131	0.086128	2.000000	6.000000	3.358974	0.999671	2.000000	6.000000	3.358974	0.999671	0.786260	2.000000	38.000000	14.666667	10.034130	0.051282	0.974359	0.376068	0.257285	0.071429	1.500000	0.442285	0.430016	2.785714	58.500000	17.249123	16.770635	1.000000	4.000000	2.153846	0.621762	0.717557	0.658120
bcspwr02	49	49	167	0.069554	2.000000	7.000000	3.408163	1.398518	2.000000	7.000000	3.408163	1.398518	1.053892	1.000000	36.000000	15.244898	12.456505	0.020408	0.734694	0.311120	0.254214	0.103448	2.000000	0.577728	0.566894	5.068966	98.000000	28.308683	27.777807	1.000000	5.000000	2.510204	1.012623	0.526946	0.637512
bcspwr03	118	118	476	0.034186	2.000000	10.000000	4.033898	1.567316	2.000000	10.000000	4.033898	1.567316	1.478992	1.000000	116.000000	39.449153	38.422848	0.008475	0.983051	0.334315	0.325617	0.028037	2.000000	0.434575	0.510858	3.308411	236.000000	51.279887	60.281274	1.000000	8.000000	2.779661	1.347538	0.621849	0.684325
bcspwr04	274	274	1612	0.021472	2.000000	16.000000	5.883212	3.299117	2.000000	16.000000	5.883212	3.299117	1.719603	1.000000	271.000000	156.441606	89.379605	0.003650	0.989051	0.570955	0.326203	0.012346	2.000000	0.249573	0.559249	3.382716	548.000000	68.383062	153.234298	1.000000	15.000000	5.306569	3.140417	0.196030	0.366760
bcspwr05	443	443	1623	0.008270	2.000000	10.000000	3.663657	1.574977	2.000000	10.000000	3.663657	1.574977	1.729513	1.000000	435.000000	163.530474	134.579978	0.002257	0.981941	0.369143	0.303792	0.004843	2.000000	0.338655	0.610875	2.145278	886.000000	150.024089	270.617479	1.000000	9.000000	3.027088	1.383289	0.347505	0.488746
bcspwr06	1454	1454	5300	0.002507	2.000000	13.000000	3.645117	1.569324	2.000000	13.000000	3.645117	1.569324	2.566415	1.000000	1379.000000	103.036451	205.241035	0.000688	0.948418	0.070864	0.141156	0.001699	2.000000	0.409234	0.633797	2.470688	2908.000000	595.026636	921.541531	1.000000	11.000000	2.947730	1.381253	0.382642	0.509096
