matrix	nr_rows	nr_cols	nr_nzeros	density	nnz-r-min	nnz-r-max	nnz-r-avg	nnz-r-std	nnz-c-min	nnz-c-max	nnz-c-avg	nnz-c-std	skew_coeff	bw-min	bw-max	bw-avg	bw-std	bw-scaled-min	bw-scaled-max	bw-scaled-avg	bw-scaled-std	sc-min	sc-max	sc-avg	sc-std	sc-scaled-min	sc-scaled-max	sc-scaled-avg	sc-scaled-std	nr_groups-r-min	nr_groups-r-max	nr_groups-r-avg	nr_groups-r-std	num-neigh-avg	cross_row_sim-avg	mem_footprint
Trec3	1	2	1	0.5	1.0	1.0	1.0	0.0	0.0	1.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.9073486328125e-05
mycielskian2	2	2	2	0.5	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.5	3.4332275390625e-05
Trec4	2	3	3	0.5	1.0	2.0	1.5	0.5	0.0	2.0	1.0	0.816497	0.333333	0.0	1.0	0.5	0.5	0.0	0.333333	0.166667	0.166667	0.0	2.0	1.0	1.0	0.0	6.0	3.0	3.0	1.0	1.0	1.0	0.0	0.666667	0.5	4.57763671875e-05
GL7d10	1	60	8	0.133333	8.0	8.0	8.0	0.0	0.0	1.0	0.133333	0.339935	0.0	48.0	48.0	48.0	0.0	0.8	0.8	0.8	0.0	0.166667	0.166667	0.166667	0.0	10.0	10.0	10.0	0.0	8.0	8.0	8.0	0.0	0.0	0.0	9.918212890625e-05
mycielskian3	5	5	10	0.4	2.0	2.0	2.0	0.0	2.0	2.0	2.0	0.0	0.0	1.0	4.0	2.4	1.019804	0.2	0.8	0.48	0.203961	0.5	2.0	1.033333	0.520683	2.5	10.0	5.166667	2.603417	1.0	2.0	1.8	0.4	0.2	0.7	0.0001373291015625
Trec5	3	7	12	0.571429	2.0	5.0	4.0	1.414214	0.0	3.0	1.714286	0.880631	0.25	1.0	4.0	3.0	1.414214	0.142857	0.571429	0.428571	0.202031	1.25	2.0	1.5	0.353553	8.75	14.0	10.5	2.474874	1.0	1.0	1.0	0.0	1.5	0.666667	0.000152587890625
b1_ss	7	7	15	0.306122	2.0	3.0	2.142857	0.349927	2.0	3.0	2.142857	0.349927	0.4	2.0	6.0	3.714286	1.277753	0.285714	0.857143	0.530612	0.182536	0.333333	1.5	0.67619	0.359327	2.333333	10.5	4.733333	2.515287	1.0	2.0	1.857143	0.349927	0.266667	0.785714	0.000202178955078125
ch3-3-b2	6	18	18	0.166667	3.0	3.0	3.0	0.0	1.0	1.0	1.0	0.0	0.0	4.0	12.0	6.5	2.753785	0.222222	0.666667	0.361111	0.152988	0.25	0.75	0.534524	0.182826	4.5	13.5	9.621429	3.290873	2.0	2.0	2.0	0.0	0.666667	0.333333	0.000232696533203125
cage3	5	5	19	0.76	3.0	5.0	3.8	0.748331	3.0	5.0	3.8	0.748331	0.315789	3.0	4.0	3.8	0.4	0.6	0.8	0.76	0.08	0.75	1.25	1.0	0.158114	3.75	6.25	5.0	0.790569	1.0	3.0	2.0	0.632456	0.947368	0.8	0.000240325927734375
rel3	12	5	18	0.3	0.0	3.0	1.5	1.5	0.0	6.0	3.6	2.939388	1.0	0.0	3.0	1.5	1.5	0.0	0.6	0.3	0.3	0.0	1.0	0.5	0.5	0.0	5.0	2.5	2.5	0.0	2.0	1.0	1.0	0.666667	0.833333	0.000255584716796875
lpi_galenet	8	14	22	0.196429	2.0	4.0	2.75	0.829156	1.0	2.0	1.571429	0.494872	0.454545	5.0	8.0	6.625	1.111024	0.357143	0.571429	0.473214	0.079359	0.25	0.8	0.444792	0.211677	3.5	11.2	6.227083	2.963481	2.0	2.0	2.0	0.0	0.545455	0.604167	0.000286102294921875
relat3	12	5	24	0.4	0.0	3.0	2.0	1.414214	0.0	8.0	4.8	3.919184	0.5	0.0	3.0	2.0	1.414214	0.0	0.6	0.4	0.282843	0.0	1.0	0.666667	0.471405	0.0	5.0	3.333333	2.357023	0.0	2.0	1.333333	0.942809	0.666667	0.875	0.000324249267578125
lpi_itest2	9	13	26	0.222222	2.0	4.0	2.888889	0.566558	1.0	5.0	2.0	1.568929	0.384615	3.0	10.0	7.0	2.260777	0.230769	0.769231	0.538462	0.173906	0.222222	1.0	0.49321	0.279593	2.888889	13.0	6.411728	3.634711	2.0	3.0	2.111111	0.31427	0.538462	0.814815	0.000335693359375
n3c4-b4	6	15	30	0.333333	5.0	5.0	5.0	0.0	2.0	2.0	2.0	0.0	0.0	4.0	11.0	9.0	2.44949	0.266667	0.733333	0.6	0.163299	0.454545	1.25	0.630682	0.282781	6.818182	18.75	9.460227	4.241716	1.0	5.0	3.166667	1.34371	0.733333	0.633333	0.000370025634765625
lpi_itest6	11	17	29	0.15508	2.0	3.0	2.636364	0.481046	1.0	5.0	1.705882	1.317962	0.137931	1.0	14.0	7.0	3.908034	0.058824	0.823529	0.411765	0.229884	0.214286	2.0	0.641775	0.570282	3.642857	34.0	10.910173	9.694796	1.0	3.0	2.090909	0.668043	0.413793	0.575758	0.000377655029296875
Tina_AskCal	11	11	29	0.239669	1.0	5.0	2.636364	1.149919	0.0	7.0	2.636364	2.012359	0.896552	0.0	9.0	4.181818	2.479669	0.0	0.818182	0.380165	0.225424	0.0	1.0	0.499784	0.287022	0.0	11.0	5.497619	3.157238	1.0	4.0	2.181818	0.833196	0.344828	0.392424	0.000377655029296875
n3c4-b1	15	6	30	0.333333	2.0	2.0	2.0	0.0	5.0	5.0	5.0	0.0	0.0	1.0	5.0	2.333333	1.247219	0.166667	0.833333	0.388889	0.20787	0.4	2.0	1.16	0.622325	2.4	12.0	6.96	3.733952	1.0	2.0	1.666667	0.471405	0.333333	0.866667	0.00040435791015625
Tina_AskCog	11	11	36	0.297521	2.0	7.0	3.272727	1.354515	1.0	7.0	3.272727	2.048987	1.138889	1.0	9.0	5.272727	2.699862	0.090909	0.818182	0.479339	0.245442	0.333333	2.0	0.865152	0.576933	3.666667	22.0	9.516667	6.346259	1.0	4.0	2.181818	0.833196	0.666667	0.405844	0.000457763671875
ch3-3-b1	18	9	36	0.222222	2.0	2.0	2.0	0.0	4.0	4.0	4.0	0.0	0.0	1.0	7.0	2.777778	1.717736	0.111111	0.777778	0.308642	0.19086	0.285714	2.0	1.05291	0.629218	2.571429	18.0	9.47619	5.662964	1.0	2.0	1.722222	0.447903	0.277778	0.777778	0.000484466552734375
Trec6	6	15	40	0.444444	2.0	9.0	6.666667	2.494438	0.0	5.0	2.666667	1.349897	0.35	1.0	9.0	7.0	2.886751	0.066667	0.6	0.466667	0.19245	0.555556	2.0	1.12037	0.435579	8.333333	30.0	16.805556	6.533685	1.0	5.0	2.166667	1.34371	1.35	0.781481	0.000484466552734375
