matrix	nr_rows	nr_cols	nr_nzeros	density	nnz-r-min	nnz-r-max	nnz-r-avg	nnz-r-std	nnz-c-min	nnz-c-max	nnz-c-avg	nnz-c-std	skew_coeff	bw-min	bw-max	bw-avg	bw-std	bw-scaled-min	bw-scaled-max	bw-scaled-avg	bw-scaled-std	sc-min	sc-max	sc-avg	sc-std	sc-scaled-min	sc-scaled-max	sc-scaled-avg	sc-scaled-std	nr_groups-r-min	nr_groups-r-max	nr_groups-r-avg	nr_groups-r-std	num-neigh-avg	cross_row_sim-avg	mem_footprint
rgg_n_2_17_s0	131072	131072	1457506	8.5e-05	0.0	28.0	11.119888	3.34422	0.0	28.0	11.119888	3.34422	1.518011	0.0	66372.0	973.47094	5529.884743	0.0	0.506378	0.007427	0.04219	0.0	1.0	0.022296	0.00773	0.0	131072.0	2922.347383	1013.183949	0.0	28.0	10.931114	3.261376	0.033953	0.051741	17.17983627319336
appu	14000	14000	1853104	0.009455	12.0	294.0	132.364571	36.494459	12.0	294.0	132.364571	36.494459	1.221138	11477.0	13998.0	13769.606286	180.596267	0.819786	0.999857	0.983543	0.0129	0.000953	0.021263	0.009602	0.00261	13.344984	297.678455	134.421287	36.540429	12.0	290.0	131.027	35.806617	0.02021	0.036817	21.260501861572266
thermomech_dK	204316	204316	2846228	6.8e-05	7.0	20.0	13.930519	1.430513	7.0	20.0	13.930519	1.430513	0.435697	959.0	204277.0	90840.915753	44775.249221	0.004694	0.999809	0.44461	0.219147	3.5e-05	0.014599	0.000263	0.000345	7.122676	2982.715328	53.701366	70.532164	2.0	10.0	6.898285	0.857047	1.009616	0.543671	33.35190200805664
ASIC_680k	682862	682862	3871773	8e-06	1.0	395259.0	5.66992	659.807358	1.0	395259.0	5.66992	659.807358	69710.563994	0.0	682787.0	255842.58824	156150.118617	0.0	0.99989	0.374662	0.22867	0.0	0.612045	3.3e-05	0.000997	0.0	417941.984076	22.403804	680.488528	1.0	4648.0	3.77331	6.112658	0.669008	0.825474	46.913841247558594
roadNet-TX	1393383	1393383	3843320	2e-06	0.0	12.0	2.758265	1.037025	0.0	12.0	2.758265	1.037025	3.35056	0.0	1343644.0	6889.942324	60155.564509	0.0	0.964303	0.004945	0.043172	0.0	2.0	0.116924	0.258686	0.0	2786766.0	162920.397221	360448.115557	0.0	10.0	2.53522	0.99362	0.161729	0.300952	49.29864501953125
com-Youtube	1134890	1134890	5975248	5e-06	1.0	28754.0	5.265046	50.754343	1.0	28754.0	5.265046	50.754343	5460.300863	0.0	1134782.0	221189.646579	319090.504518	0.0	0.999905	0.1949	0.281164	0.0	2.0	0.003677	0.0693	0.0	2269780.0	4172.523146	78647.801106	1.0	19666.0	4.522487	32.470433	0.282071	0.439166	72.71055221557617
rajat30	643994	643994	6175377	1.5e-05	1.0	454746.0	9.589184	784.579857	1.0	454746.0	9.589184	784.573376	47421.804393	0.0	643985.0	242190.259117	172695.679974	0.0	0.999986	0.376075	0.268163	0.0	2.0	0.012653	0.123789	0.0	1287988.0	8148.677553	79719.139028	1.0	64809.0	5.797121	123.440077	0.790904	0.658327	73.12822723388672
radiation	223104	223104	7637688	0.000153	4.0	3498.0	34.233756	15.156711	4.0	3498.0	34.233756	15.156711	101.179847	224.0	222550.0	133095.176268	32501.337005	0.001004	0.997517	0.596561	0.145678	2.4e-05	0.035714	0.000389	0.001143	5.313999	7968.0	86.810391	255.093944	3.0	1104.0	33.779623	11.30568	0.026531	0.135845	88.25748062133789
Stanford_Berkeley	683446	683446	7583376	1.6e-05	0.0	83448.0	11.095794	284.832088	0.0	249.0	11.095794	16.370643	7519.687595	0.0	678132.0	4865.148402	31025.200807	0.0	0.992225	0.007119	0.045395	0.0	2.0	0.251454	0.445742	0.0	1366892.0	171854.925571	304640.579875	0.0	8378.0	3.735931	18.1587	1.326604	0.652664	89.39199447631836
CurlCurl_2	806529	806529	8921789	1.4e-05	4.0	13.0	11.061957	0.921613	4.0	13.0	11.061957	0.921613	0.175199	4.0	23922.0	22564.850141	4469.547141	5e-06	0.02966	0.027978	0.005542	0.000256	1.0	0.001258	0.01095	206.387768	806529.0	1014.467396	8831.446956	2.0	8.0	7.104422	0.858272	0.715522	0.524131	105.17844009399414
