matrix,original,ideal,colind0,sorted_cols,RCM_didem,AMD,ND,GP256,HP256,Gray
pwtk,418.122811,585.392217,412.657856,419.241526,421.218517,416.810232,418.429203,415.431686,414.499250,417.595664
TSOPF_RS_b2383,515.911102,601.304248,517.564359,520.963697,517.074090,517.400833,514.546551,519.403356,521.095898,517.376002
ldoor,524.969568,583.753290,504.266308,524.668364,514.152817,524.808192,514.474066,514.401537,523.713020,522.145092
bone010,531.746927,590.125242,516.215951,522.631670,533.117048,538.340108,533.850239,535.981782,521.771727,517.608026
audikw_1,543.722851,591.682241,531.615274,552.422193,554.842318,544.909468,553.168422,546.325561,547.992558,538.194040
wikipedia-20051105,252.385911,530.485049,445.031975,265.187816,270.861435,238.995625,300.187349,314.644674,282.343630,263.048631
kron_g500-logn18,288.332934,591.457786,536.229278,357.560919,310.287999,279.463121,315.790064,285.517447,294.248335,292.994804
GL7d20,251.020976,553.461569,476.568930,248.803472,291.183893,0.000000,249.419509,260.386480,251.872813,0.000000
sx-stackoverflow,250.005046,539.139353,517.968493,239.519420,258.967587,250.328036,260.272765,262.122936,250.004614,250.557399
dgreen,282.393019,573.663651,489.833013,259.539882,504.500626,416.296969,495.826279,483.780187,352.864225,270.524519
pwtk,415.999857,585.392217,409.886523,416.647904,417.541337,417.777483,415.977546,413.668409,418.483762,415.983124
TSOPF_RS_b2383,518.541455,601.304248,516.318789,517.982959,516.366188,519.946112,520.190723,517.051358,521.673752,516.700291
ldoor,525.311894,583.753290,505.354304,526.212815,516.530426,522.097481,519.615503,520.776646,519.516134,522.728109
bone010,534.792391,590.125242,516.537787,536.616380,530.452040,537.556233,533.874598,535.718851,534.854754,516.051467
audikw_1,544.934324,591.682241,519.349120,555.054004,554.203780,560.098507,553.620976,546.817037,557.353242,547.572805
wikipedia-20051105,263.346283,530.485049,442.399402,266.489637,251.249492,234.466944,299.560253,305.525129,279.794089,254.703009
kron_g500-logn18,292.457881,591.457786,538.944704,357.282524,324.102333,280.250818,312.134345,278.218740,290.819891,289.117189
GL7d20,251.951360,553.461569,477.735171,248.937370,291.599304,0.000000,249.275996,260.061411,251.817647,0.000000
sx-stackoverflow,249.383440,539.139353,515.683219,240.063339,254.025603,250.770693,258.804118,261.778032,248.213417,249.847954
dgreen,282.202172,573.663651,489.662182,258.791364,508.538273,417.770332,497.044511,485.673962,353.522025,271.497076
pwtk,418.822721,585.392217,410.783794,414.868763,418.835913,416.020310,415.613480,415.830729,416.965214,413.308371
TSOPF_RS_b2383,519.762283,601.304248,519.699644,514.329710,517.220866,516.184881,517.065824,518.032739,519.480525,514.640708
ldoor,525.026591,583.753290,505.726488,527.461965,516.195150,522.197107,518.872249,517.732537,521.335431,522.231546
bone010,533.218691,590.125242,518.177357,526.056530,532.387351,536.902315,534.098402,533.844771,520.058416,520.073984
audikw_1,544.300252,591.682241,517.008592,552.173242,553.419257,560.788675,550.862965,544.534515,548.632361,547.509101
wikipedia-20051105,251.639982,530.485049,441.779771,265.861060,251.276659,233.367581,301.244870,311.067808,280.178549,254.834446
kron_g500-logn18,289.644877,591.457786,537.782470,357.164959,323.786882,279.162259,312.670947,287.078080,290.501569,289.102874
GL7d20,251.190513,553.461569,477.923255,247.607398,291.808523,0.000000,249.675485,260.339142,252.065287,0.000000
sx-stackoverflow,249.391808,539.139353,516.034829,237.712522,254.340772,250.975224,255.876911,260.126784,248.298677,249.104190
dgreen,282.763471,573.663651,489.478945,257.578959,509.283736,417.650050,496.847644,484.497726,353.483648,271.540913
pwtk,416.260323,585.392217,410.952470,414.464180,416.334802,417.590043,417.269912,415.710007,417.202578,413.420357
TSOPF_RS_b2383,521.423541,601.304248,517.378071,520.069434,519.057419,520.130071,516.803496,518.026516,519.839559,513.741480
ldoor,526.687913,583.753290,501.968194,526.119089,516.308292,523.797782,519.881882,520.955239,520.268508,522.703882
bone010,531.814501,590.125242,516.168082,523.669933,531.054912,540.364578,534.437947,532.732148,517.303524,520.425686
audikw_1,547.833082,591.682241,519.923751,551.914219,555.571254,546.312108,552.314630,543.100615,545.521008,547.734544
wikipedia-20051105,251.314622,530.485049,444.841554,267.684087,251.956543,228.585557,301.185158,297.047701,270.886508,254.703009
kron_g500-logn18,288.412003,591.457786,536.652449,357.299864,323.618562,278.062031,312.396364,294.245267,294.122601,289.599302
GL7d20,252.258853,553.461569,475.467917,248.329125,291.464254,0.000000,249.247937,260.709236,251.832497,0.000000
sx-stackoverflow,248.525187,539.139353,514.050815,236.932206,253.562297,250.582958,257.473792,260.637847,250.450888,248.917231
dgreen,282.337535,573.663651,490.065159,257.730132,508.656589,416.661924,497.110707,483.858958,354.353271,271.591029
pwtk,417.788734,585.392217,411.963794,416.963346,418.402870,417.777483,417.075452,417.414004,416.894244,416.855034
TSOPF_RS_b2383,518.576791,601.304248,516.617756,517.707270,517.543654,518.564319,516.197239,518.290087,520.668062,514.857811
ldoor,526.431641,583.753290,504.617049,527.019798,515.187648,525.131784,518.647375,518.828126,520.574145,523.655545
bone010,531.827821,590.125242,517.025490,525.799869,531.764682,521.909945,534.719071,534.299986,516.409842,517.096836
audikw_1,545.685852,591.682241,519.486794,541.262226,555.864559,559.411044,551.568742,546.209313,548.650773,535.051662
wikipedia-20051105,252.291623,530.485049,444.788966,266.761353,252.058622,228.488386,301.337930,303.242702,272.925869,259.920891
kron_g500-logn18,289.652309,591.457786,536.516418,357.635684,322.564986,278.283669,312.661709,284.196270,290.194387,289.398845
GL7d20,251.504086,553.461569,477.741852,248.609225,291.778617,0.000000,249.123566,260.597303,251.241181,0.000000
sx-stackoverflow,249.043622,539.139353,518.465999,236.957192,254.381619,250.327604,259.388423,260.408147,249.033994,248.848849
dgreen,282.649101,573.663651,489.942784,260.106273,508.048694,416.626761,498.811987,486.204747,354.077803,271.008365
