matrix_name	nr_cols	bw_total	avg-parts	std-parts	varcoeff-parts
cage15.sorted	5154859	1092607.23	12.5	11.27	90.19
circuit5M.sorted	5558326	2793149.88	12.5	20.8	166.39
bone010.sorted	986703	17931.37	12.5	13.82	110.57
ldoor.sorted	952203	194446.25	12.5	12.19	97.5
rajat31.sorted	4690002	4557.09	12.5	14.67	117.38
TSOPF_RS_b2383.sorted	38120	18422.08	12.5	15.4	123.16
Ga41As41H72.sorted	268096	46185.57	12.5	9.31	74.5
wikipedia-20051105.sorted	1634989	555995.14	6.48	8.58	132.44
eu-2005.sorted	862664	214717.96	10.71	10.04	93.7
PR02R.sorted	161070	6376.07	12.47	5.17	41.47
Si41Ge41H72.sorted	185639	35928.15	12.5	8.46	67.71
in-2004.sorted	1382908	29733.21	8.78	9.01	102.68
Chebyshev4.sorted	68121	3089.79	12.5	5.75	46.01
rail4284.real	1096894	1048128.07	12.5	6.8	54.42
pwtk.sorted	217918	12927.05	12.5	12.89	103.13
crankseg_2.sorted	63838	55268.93	12.5	5.2	41.6
TSOPF_RS_b300_c3.sorted	42138	25564.97	12.5	16.23	129.84
shipsec1.sorted	140874	6462.67	12.5	10.85	86.8
consph.sorted	83334	5817.66	11.95	13.13	109.9
webbase-1M.sorted	1000005	152463.66	12.43	21.47	172.8
mip1.sorted	66463	39232.11	12.5	19.93	159.43
rma10.sorted	46835	8794.27	12.5	14.33	114.61
cant.sorted	62451	537.33	12.45	13.48	108.24
conf5_4-8x8-15.real	49152	12027.03	12.5	13.18	105.48
pdb1HYS.sorted	36417	4731.94	12.5	12.11	96.89
bbmat.sorted	38744	1158.22	12.5	12.54	100.34
raefsky3.sorted	21200	1403.45	12.5	14.02	112.19
mc2depi.real	525825	705.75	12.5	13.36	106.91
mac_econ_fwd500.sorted	206500	393.99	12.5	13.15	105.17
scircuit.sorted	170998	50829.59	12.5	15.14	121.18
cop20k_A.sorted	121192	75509.28	10.3	8.79	85.39
